dataset,target,hypergraph_mode,leakage_method,tau,mask,mask_size,inference_zone_size,leakage,utility
airport,type,MAX,greedy_disjoint,,home_link|iso_country|keywords,3,6,0.3807484272233449,-0.5
airport,type,MAX,greedy_disjoint,,home_link|iso_country|municipality,3,6,0.3950300846957072,-0.5
airport,type,MAX,greedy_disjoint,,home_link|iso_country|scheduled_service,3,6,0.3066569330312926,-0.5
airport,type,MAX,greedy_disjoint,,home_link|keywords|municipality,3,6,0.22006762971385208,-0.4700676297138521
airport,type,MAX,greedy_disjoint,,home_link|keywords|scheduled_service,3,6,0.28923072866786315,-0.5
airport,type,MAX,greedy_disjoint,,home_link|municipality|scheduled_service,3,6,0.0513451968064641,-0.3013451968064641
airport,type,MAX,greedy_disjoint,,iso_country|keywords|municipality,3,6,0.39428424024779074,-0.5
airport,type,MAX,greedy_disjoint,,iso_country|keywords|scheduled_service,3,6,0.30646684954458925,-0.5
airport,type,MAX,greedy_disjoint,,iso_country|municipality|scheduled_service,3,6,0.0206488898315228,-0.2706488898315228
airport,type,MAX,greedy_disjoint,,keywords|municipality|scheduled_service,3,6,0.051126318247808444,-0.30112631824780844
airport,type,MAX,greedy_disjoint,,continent|home_link|iso_country|keywords,4,6,0.2729908590178889,-0.6666666666666666
airport,type,MAX,greedy_disjoint,,continent|home_link|iso_country|municipality,4,6,0.28975770465419015,-0.6666666666666666
airport,type,MAX,greedy_disjoint,,continent|home_link|iso_country|scheduled_service,4,6,0.3066569330312926,-0.6666666666666666
airport,type,MAX,greedy_disjoint,,continent|home_link|keywords|municipality,4,6,0.1307040696701931,-0.5473707363368597
airport,type,MAX,greedy_disjoint,,continent|home_link|keywords|scheduled_service,4,6,0.26206657162545577,-0.6666666666666666
airport,type,MAX,greedy_disjoint,,continent|home_link|municipality|scheduled_service,4,6,0.0513451968064641,-0.46801186347313073
airport,type,MAX,greedy_disjoint,,continent|iso_country|keywords|municipality,4,6,0.2888820738843647,-0.6666666666666666
airport,type,MAX,greedy_disjoint,,continent|iso_country|keywords|scheduled_service,4,6,0.30646684954458925,-0.6666666666666666
airport,type,MAX,greedy_disjoint,,continent|iso_country|municipality|scheduled_service,4,6,0.0,-0.41666666666666663
airport,type,MAX,greedy_disjoint,,continent|keywords|municipality|scheduled_service,4,6,0.051126318247808444,-0.4677929849144751
airport,type,MAX,greedy_disjoint,,home_link|iso_country|keywords|municipality,4,6,0.22006762971385208,-0.6367342963805187
airport,type,MAX,greedy_disjoint,,home_link|iso_country|keywords|scheduled_service,4,6,0.2940349213564267,-0.6666666666666666
airport,type,MAX,greedy_disjoint,,home_link|iso_country|municipality|scheduled_service,4,6,0.0206488898315228,-0.43731555649818943
airport,type,MAX,greedy_disjoint,,home_link|keywords|municipality|scheduled_service,4,6,0.03681112143441201,-0.45347778810107864
airport,type,MAX,greedy_disjoint,,iso_country|keywords|municipality|scheduled_service,4,6,0.020560866033285108,-0.43722753269995174
airport,type,MAX,greedy_disjoint,,continent|home_link|iso_country|keywords|municipality,5,6,0.08434958024663752,-0.6676829135799709
airport,type,MAX,greedy_disjoint,,continent|home_link|iso_country|keywords|scheduled_service,5,6,0.26500915655694,-0.8333333333333334
airport,type,MAX,greedy_disjoint,,continent|home_link|iso_country|municipality|scheduled_service,5,6,0.0,-0.5833333333333334
airport,type,MAX,greedy_disjoint,,continent|home_link|keywords|municipality|scheduled_service,5,6,0.016156951514517015,-0.5994902848478504
airport,type,MAX,greedy_disjoint,,continent|iso_country|keywords|municipality|scheduled_service,5,6,0.0,-0.5833333333333334
airport,type,MAX,greedy_disjoint,,home_link|iso_country|keywords|municipality|scheduled_service,5,6,0.01480389283420347,-0.5981372261675368
airport,type,MAX,greedy_disjoint,,continent|home_link|iso_country|keywords|municipality|scheduled_service,6,6,0.0,-0.75
airport,continent,MAX,greedy_disjoint,,,0,6,0.49830908053361767,0.0
airport,continent,MAX,greedy_disjoint,,home_link,1,6,0.49830908053361767,-0.16666666666666666
airport,continent,MAX,greedy_disjoint,,iso_country,1,6,0.23807295734272593,-0.1547396240093926
airport,continent,MAX,greedy_disjoint,,keywords,1,6,0.49830908053361767,-0.16666666666666666
airport,continent,MAX,greedy_disjoint,,municipality,1,6,0.49830908053361767,-0.16666666666666666
airport,continent,MAX,greedy_disjoint,,scheduled_service,1,6,0.4241653878016389,-0.16666666666666666
airport,continent,MAX,greedy_disjoint,,type,1,6,0.4236357747645122,-0.16666666666666666
airport,continent,MAX,greedy_disjoint,,home_link|iso_country,2,6,0.23807295734272593,-0.32140629067605925
airport,continent,MAX,greedy_disjoint,,home_link|keywords,2,6,0.49830908053361767,-0.3333333333333333
airport,continent,MAX,greedy_disjoint,,home_link|municipality,2,6,0.49830908053361767,-0.3333333333333333
airport,continent,MAX,greedy_disjoint,,home_link|scheduled_service,2,6,0.4241653878016389,-0.3333333333333333
airport,continent,MAX,greedy_disjoint,,home_link|type,2,6,0.423727723289243,-0.3333333333333333
airport,continent,MAX,greedy_disjoint,,iso_country|keywords,2,6,0.23807295734272593,-0.32140629067605925
airport,continent,MAX,greedy_disjoint,,iso_country|municipality,2,6,0.23807295734272593,-0.32140629067605925
airport,continent,MAX,greedy_disjoint,,iso_country|scheduled_service,2,6,0.04332145489246653,-0.12665478822579984
airport,continent,MAX,greedy_disjoint,,iso_country|type,2,6,0.12466526184245019,-0.2079985951757835
airport,continent,MAX,greedy_disjoint,,keywords|municipality,2,6,0.49830908053361767,-0.3333333333333333
airport,continent,MAX,greedy_disjoint,,keywords|scheduled_service,2,6,0.4241653878016389,-0.3333333333333333
airport,continent,MAX,greedy_disjoint,,keywords|type,2,6,0.4236357747645122,-0.3333333333333333
airport,continent,MAX,greedy_disjoint,,municipality|scheduled_service,2,6,0.4241653878016389,-0.3333333333333333
airport,continent,MAX,greedy_disjoint,,municipality|type,2,6,0.4236357747645122,-0.3333333333333333
airport,continent,MAX,greedy_disjoint,,scheduled_service|type,2,6,0.4070950471803544,-0.3333333333333333
airport,continent,MAX,greedy_disjoint,,home_link|iso_country|keywords,3,6,0.23807295734272593,-0.48807295734272593
airport,continent,MAX,greedy_disjoint,,home_link|iso_country|municipality,3,6,0.23807295734272593,-0.48807295734272593
airport,continent,MAX,greedy_disjoint,,home_link|iso_country|scheduled_service,3,6,0.04332145489246653,-0.2933214548924665
airport,continent,MAX,greedy_disjoint,,home_link|iso_country|type,3,6,0.12480490572438319,-0.3748049057243832
airport,continent,MAX,greedy_disjoint,,home_link|keywords|municipality,3,6,0.49830908053361767,-0.5
airport,continent,MAX,greedy_disjoint,,home_link|keywords|scheduled_service,3,6,0.4241653878016389,-0.5
airport,continent,MAX,greedy_disjoint,,home_link|keywords|type,3,6,0.4273561015135856,-0.5
airport,continent,MAX,greedy_disjoint,,home_link|municipality|scheduled_service,3,6,0.4241653878016389,-0.5
airport,continent,MAX,greedy_disjoint,,home_link|municipality|type,3,6,0.423727723289243,-0.5
airport,continent,MAX,greedy_disjoint,,home_link|scheduled_service|type,3,6,0.4070950471803544,-0.5
airport,continent,MAX,greedy_disjoint,,iso_country|keywords|municipality,3,6,0.23807295734272593,-0.48807295734272593
airport,continent,MAX,greedy_disjoint,,iso_country|keywords|scheduled_service,3,6,0.04332145489246653,-0.2933214548924665
airport,continent,MAX,greedy_disjoint,,iso_country|keywords|type,3,6,0.12466526184245019,-0.3746652618424502
airport,continent,MAX,greedy_disjoint,,iso_country|municipality|scheduled_service,3,6,0.03592524660768637,-0.28592524660768637
airport,continent,MAX,greedy_disjoint,,iso_country|municipality|type,3,6,0.12466526184245019,-0.3746652618424502
airport,continent,MAX,greedy_disjoint,,iso_country|scheduled_service|type,3,6,0.024793890495394266,-0.27479389049539427
airport,continent,MAX,greedy_disjoint,,keywords|municipality|scheduled_service,3,6,0.4241653878016389,-0.5
airport,continent,MAX,greedy_disjoint,,keywords|municipality|type,3,6,0.4236357747645122,-0.5
airport,continent,MAX,greedy_disjoint,,keywords|scheduled_service|type,3,6,0.40707400180527975,-0.5
airport,continent,MAX,greedy_disjoint,,municipality|scheduled_service|type,3,6,0.4070950471803544,-0.5
airport,continent,MAX,greedy_disjoint,,home_link|iso_country|keywords|municipality,4,6,0.23807295734272593,-0.6547396240093926
airport,continent,MAX,greedy_disjoint,,home_link|iso_country|keywords|scheduled_service,4,6,0.04332145489246653,-0.45998812155913316
airport,continent,MAX,greedy_disjoint,,home_link|iso_country|keywords|type,4,6,0.13031538913726992,-0.5469820558039366
airport,continent,MAX,greedy_disjoint,,home_link|iso_country|municipality|scheduled_service,4,6,0.03607904735975154,-0.45274571402641817
airport,continent,MAX,greedy_disjoint,,home_link|iso_country|municipality|type,4,6,0.12480490572438319,-0.5414715723910498
airport,continent,MAX,greedy_disjoint,,home_link|iso_country|scheduled_service|type,4,6,0.024793890495394266,-0.4414605571620609
airport,continent,MAX,greedy_disjoint,,home_link|keywords|municipality|scheduled_service,4,6,0.4241653878016389,-0.6666666666666666
airport,continent,MAX,greedy_disjoint,,home_link|keywords|municipality|type,4,6,0.4089455204899587,-0.6666666666666666
airport,continent,MAX,greedy_disjoint,,home_link|keywords|scheduled_service|type,4,6,0.4021581592014304,-0.6666666666666666
airport,continent,MAX,greedy_disjoint,,home_link|municipality|scheduled_service|type,4,6,0.4070950471803544,-0.6666666666666666
airport,continent,MAX,greedy_disjoint,,iso_country|keywords|municipality|scheduled_service,4,6,0.03592524660768637,-0.452591913274353
airport,continent,MAX,greedy_disjoint,,iso_country|keywords|municipality|type,4,6,0.12466526184245019,-0.5413319285091168
airport,continent,MAX,greedy_disjoint,,iso_country|keywords|scheduled_service|type,4,6,0.024793890495394266,-0.4414605571620609
airport,continent,MAX,greedy_disjoint,,iso_country|municipality|scheduled_service|type,4,6,0.0,-0.41666666666666663
airport,continent,MAX,greedy_disjoint,,keywords|municipality|scheduled_service|type,4,6,0.40707400180527975,-0.6666666666666666
airport,continent,MAX,greedy_disjoint,,home_link|iso_country|keywords|municipality|scheduled_service,5,6,0.01135310516149557,-0.5946864384948289
airport,continent,MAX,greedy_disjoint,,home_link|iso_country|keywords|municipality|type,5,6,0.10235490787551138,-0.6856882412088448
airport,continent,MAX,greedy_disjoint,,home_link|iso_country|keywords|scheduled_service|type,5,6,0.024793890495394266,-0.6081272238287276
airport,continent,MAX,greedy_disjoint,,home_link|iso_country|municipality|scheduled_service|type,5,6,0.0,-0.5833333333333334
airport,continent,MAX,greedy_disjoint,,home_link|keywords|municipality|scheduled_service|type,5,6,0.4037116649754706,-0.8333333333333334
airport,continent,MAX,greedy_disjoint,,iso_country|keywords|municipality|scheduled_service|type,5,6,0.0,-0.5833333333333334
airport,continent,MAX,greedy_disjoint,,home_link|iso_country|keywords|municipality|scheduled_service|type,6,6,0.0,-0.75
airport,iso_country,MAX,greedy_disjoint,,,0,6,0.5389934788731855,0.0
airport,iso_country,MAX,greedy_disjoint,,continent,1,6,0.27875735568229376,-0.16666666666666666
airport,iso_country,MAX,greedy_disjoint,,home_link,1,6,0.5389934788731855,-0.16666666666666666
airport,iso_country,MAX,greedy_disjoint,,keywords,1,6,0.5389934788731855,-0.16666666666666666
airport,iso_country,MAX,greedy_disjoint,,municipality,1,6,0.5389934788731855,-0.16666666666666666
airport,iso_country,MAX,greedy_disjoint,,scheduled_service,1,6,0.439016357388329,-0.16666666666666666
airport,iso_country,MAX,greedy_disjoint,,type,1,6,0.5389934788731855,-0.16666666666666666
airport,iso_country,MAX,greedy_disjoint,,continent|home_link,2,6,0.27875735568229376,-0.3333333333333333
airport,iso_country,MAX,greedy_disjoint,,continent|keywords,2,6,0.27875735568229376,-0.3333333333333333
airport,iso_country,MAX,greedy_disjoint,,continent|municipality,2,6,0.27875735568229376,-0.3333333333333333
airport,iso_country,MAX,greedy_disjoint,,continent|scheduled_service,2,6,0.06165208868229288,-0.1449854220156262
airport,iso_country,MAX,greedy_disjoint,,continent|type,2,6,0.2400229659511235,-0.3233562992844568
airport,iso_country,MAX,greedy_disjoint,,home_link|keywords,2,6,0.5389934788731855,-0.3333333333333333
airport,iso_country,MAX,greedy_disjoint,,home_link|municipality,2,6,0.5389934788731855,-0.3333333333333333
airport,iso_country,MAX,greedy_disjoint,,home_link|scheduled_service,2,6,0.439016357388329,-0.3333333333333333
airport,iso_country,MAX,greedy_disjoint,,home_link|type,2,6,0.5389934788731855,-0.3333333333333333
airport,iso_country,MAX,greedy_disjoint,,keywords|municipality,2,6,0.5389934788731855,-0.3333333333333333
airport,iso_country,MAX,greedy_disjoint,,keywords|scheduled_service,2,6,0.439016357388329,-0.3333333333333333
airport,iso_country,MAX,greedy_disjoint,,keywords|type,2,6,0.5389934788731855,-0.3333333333333333
airport,iso_country,MAX,greedy_disjoint,,municipality|scheduled_service,2,6,0.4327236114159537,-0.3333333333333333
airport,iso_country,MAX,greedy_disjoint,,municipality|type,2,6,0.5389934788731855,-0.3333333333333333
airport,iso_country,MAX,greedy_disjoint,,scheduled_service|type,2,6,0.439016357388329,-0.3333333333333333
airport,iso_country,MAX,greedy_disjoint,,continent|home_link|keywords,3,6,0.27875735568229376,-0.5
airport,iso_country,MAX,greedy_disjoint,,continent|home_link|municipality,3,6,0.27875735568229376,-0.5
airport,iso_country,MAX,greedy_disjoint,,continent|home_link|scheduled_service,3,6,0.06165208868229288,-0.3116520886822929
airport,iso_country,MAX,greedy_disjoint,,continent|home_link|type,3,6,0.24007066130832577,-0.4900706613083258
airport,iso_country,MAX,greedy_disjoint,,continent|keywords|municipality,3,6,0.27875735568229376,-0.5
airport,iso_country,MAX,greedy_disjoint,,continent|keywords|scheduled_service,3,6,0.06165208868229288,-0.3116520886822929
airport,iso_country,MAX,greedy_disjoint,,continent|keywords|type,3,6,0.2400229659511235,-0.4900229659511235
airport,iso_country,MAX,greedy_disjoint,,continent|municipality|scheduled_service,3,6,0.051126318247808444,-0.30112631824780844
airport,iso_country,MAX,greedy_disjoint,,continent|municipality|type,3,6,0.2400229659511235,-0.4900229659511235
airport,iso_country,MAX,greedy_disjoint,,continent|scheduled_service|type,3,6,0.06165208868229288,-0.3116520886822929
airport,iso_country,MAX,greedy_disjoint,,home_link|keywords|municipality,3,6,0.5389934788731855,-0.5
airport,iso_country,MAX,greedy_disjoint,,home_link|keywords|scheduled_service,3,6,0.439016357388329,-0.5
airport,iso_country,MAX,greedy_disjoint,,home_link|keywords|type,3,6,0.5389934788731855,-0.5
airport,iso_country,MAX,greedy_disjoint,,home_link|municipality|scheduled_service,3,6,0.4241653878016389,-0.5
airport,iso_country,MAX,greedy_disjoint,,home_link|municipality|type,3,6,0.5389934788731855,-0.5
airport,iso_country,MAX,greedy_disjoint,,home_link|scheduled_service|type,3,6,0.439016357388329,-0.5
airport,iso_country,MAX,greedy_disjoint,,keywords|municipality|scheduled_service,3,6,0.4327236114159537,-0.5
airport,iso_country,MAX,greedy_disjoint,,keywords|municipality|type,3,6,0.5389934788731855,-0.5
airport,iso_country,MAX,greedy_disjoint,,keywords|scheduled_service|type,3,6,0.439016357388329,-0.5
airport,iso_country,MAX,greedy_disjoint,,municipality|scheduled_service|type,3,6,0.4021581592014304,-0.5
airport,iso_country,MAX,greedy_disjoint,,continent|home_link|keywords|municipality,4,6,0.27875735568229376,-0.6666666666666666
airport,iso_country,MAX,greedy_disjoint,,continent|home_link|keywords|scheduled_service,4,6,0.06165208868229288,-0.4783187553489595
airport,iso_country,MAX,greedy_disjoint,,continent|home_link|keywords|type,4,6,0.24195276649686992,-0.6586194331635365
airport,iso_country,MAX,greedy_disjoint,,continent|home_link|municipality|scheduled_service,4,6,0.0513451968064641,-0.46801186347313073
airport,iso_country,MAX,greedy_disjoint,,continent|home_link|municipality|type,4,6,0.24007066130832577,-0.6567373279749924
airport,iso_country,MAX,greedy_disjoint,,continent|home_link|scheduled_service|type,4,6,0.06165208868229288,-0.4783187553489595
airport,iso_country,MAX,greedy_disjoint,,continent|keywords|municipality|scheduled_service,4,6,0.051126318247808444,-0.4677929849144751
airport,iso_country,MAX,greedy_disjoint,,continent|keywords|municipality|type,4,6,0.2400229659511235,-0.6566896326177901
airport,iso_country,MAX,greedy_disjoint,,continent|keywords|scheduled_service|type,4,6,0.06165208868229288,-0.4783187553489595
airport,iso_country,MAX,greedy_disjoint,,continent|municipality|scheduled_service|type,4,6,0.0,-0.41666666666666663
airport,iso_country,MAX,greedy_disjoint,,home_link|keywords|municipality|scheduled_service,4,6,0.4241653878016389,-0.6666666666666666
airport,iso_country,MAX,greedy_disjoint,,home_link|keywords|municipality|type,4,6,0.5389934788731855,-0.6666666666666666
airport,iso_country,MAX,greedy_disjoint,,home_link|keywords|scheduled_service|type,4,6,0.439016357388329,-0.6666666666666666
airport,iso_country,MAX,greedy_disjoint,,home_link|municipality|scheduled_service|type,4,6,0.4021581592014304,-0.6666666666666666
