OfWeek', 'OriginState', 'OriginWac', 'OriginCityMarketID'} Leakage 0.8160552884069705
Mask Size 5 Mask {'OriginAirportSeqID', 'DayofMonth', 'OriginState', 'OriginWac', 'FlightDate'} Leakage 0.9077830705372727
Mask Size 5 Mask {'OriginAirportSeqID', 'DayofMonth', 'OriginStateName', 'OriginStateFips', 'FlightDate'} Leakage 0.9035129007181996
Mask Size 5 Mask {'OriginAirportSeqID', 'DayofMonth', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.9021437860032353
Mask Size 5 Mask {'OriginAirportSeqID', 'DayofMonth', 'OriginStateName', 'OriginWac', 'FlightDate'} Leakage 0.9019808915327947
Mask Size 5 Mask {'OriginCityName', 'DayofMonth', 'OriginState', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8580921857025491
Mask Size 5 Mask {'OriginCityName', 'DayofMonth', 'OriginStateFips', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8711201754386498
Mask Size 5 Mask {'OriginCityName', 'DayofMonth', 'OriginStateName', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8663256418556095
Mask Size 5 Mask {'OriginCityName', 'DayofMonth', 'OriginWac', 'OriginCityMarketID', 'FlightDate'} Leakage 0.856523170916696
Mask Size 5 Mask {'DayofMonth', 'OriginState', 'OriginStateFips', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8832780719519813
Mask Size 5 Mask {'DayofMonth', 'OriginStateName', 'OriginState', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8739506495365004
Mask Size 5 Mask {'DayofMonth', 'OriginState', 'OriginWac', 'OriginCityMarketID', 'FlightDate'} Leakage 0.867199846691516
Mask Size 5 Mask {'DayofMonth', 'OriginStateName', 'OriginStateFips', 'OriginCityMarketID', 'FlightDate'} Leakage 0.9056109484550988
Mask Size 5 Mask {'DayofMonth', 'OriginStateFips', 'OriginWac', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8829982073162572
Mask Size 5 Mask {'DayofMonth', 'OriginStateName', 'OriginWac', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8714732946680852
Mask Size 5 Mask {'OriginCityName', 'DayofMonth', 'OriginState', 'OriginStateFips', 'FlightDate'} Leakage 0.9163908148223419
Mask Size 5 Mask {'OriginCityName', 'DayofMonth', 'OriginStateName', 'OriginState', 'FlightDate'} Leakage 0.90806941838041
Mask Size 5 Mask {'OriginCityName', 'DayofMonth', 'OriginState', 'OriginWac', 'FlightDate'} Leakage 0.9100792478380684
Mask Size 5 Mask {'OriginCityName', 'DayofMonth', 'OriginStateName', 'OriginStateFips', 'FlightDate'} Leakage 0.9253842516280963
Mask Size 5 Mask {'OriginCityName', 'DayofMonth', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.9127815447120714
Mask Size 5 Mask {'OriginCityName', 'DayofMonth', 'OriginStateName', 'OriginWac', 'FlightDate'} Leakage 0.9056777870864754
Mask Size 5 Mask {'DayofMonth', 'OriginStateName', 'OriginState', 'OriginStateFips', 'FlightDate'} Leakage 0.9407574412839309
Mask Size 5 Mask {'DayofMonth', 'OriginState', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.9385719686612617
Mask Size 5 Mask {'DayofMonth', 'OriginStateName', 'OriginState', 'OriginWac', 'FlightDate'} Leakage 0.9302164456507875
Mask Size 5 Mask {'DayofMonth', 'OriginStateName', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.9393361602528402
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Origin', 'DayofMonth', 'Month'} Leakage 0.8941110816472717
