method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsd
delgum,hospital,ProviderNumber,0.006008148193359375,0.001461029052734375,0.001538991928100586,0.003008127212524414,0.5206608604337979,0.6623992294064142,-0.5,28,5,1823,10
delgum,hospital,ProviderNumber,0.0045320987701416016,0.0009250640869140625,0.0009438991546630859,0.002663135528564453,0.5206608604337979,0.6623992294064142,-0.4,14,4,1823,10
delgum,hospital,ProviderNumber,0.015170574188232422,0.001894235610961914,0.011135101318359375,0.002141237258911133,0.0002521225070323263,0.6623992294064142,-0.6502521225070323,426,9,1823,10
delgum,hospital,ProviderNumber,0.0023560523986816406,0.00039315223693847656,0.00021982192993164062,0.0017430782318115234,0.6623992294064142,0.6623992294064142,0.0,4,0,1823,10
delgum,hospital,ProviderNumber,0.003801584243774414,0.0007939338684082031,0.001439809799194336,0.001567840576171875,0.5468475106079831,0.6623992294064142,-0.7,38,7,1823,10
delgum,hospital,ProviderNumber,0.0038442611694335938,0.001093149185180664,0.00043392181396484375,0.002317190170288086,0.6623992294064142,0.6623992294064142,0.0,4,0,1823,10
delgum,hospital,ProviderNumber,0.005016803741455078,0.0011687278747558594,0.0013470649719238281,0.0025010108947753906,0.3592419527878562,0.6623992294064142,-0.3,10,3,1823,10
delgum,hospital,ProviderNumber,0.00522303581237793,0.0014851093292236328,0.0016140937805175781,0.0021238327026367188,0.5468475106079831,0.6623992294064142,-0.3,10,3,1823,10
delgum,hospital,ProviderNumber,0.0032286643981933594,0.0007238388061523438,0.0006668567657470703,0.0018379688262939453,0.6623992294064142,0.6623992294064142,-0.2,4,2,1823,10
delgum,hospital,ProviderNumber,0.0045948028564453125,0.0012240409851074219,0.0011887550354003906,0.0021820068359375,0.6623992294064142,0.6623992294064142,-0.3,4,3,1823,10
delgum,hospital,ProviderNumber,0.015312910079956055,0.0012371540069580078,0.012431859970092773,0.0016438961029052734,0.0002521225070323263,0.6623992294064142,-0.6502521225070323,426,9,1823,10
delgum,hospital,ProviderNumber,0.006295204162597656,0.0003972053527832031,0.004436969757080078,0.001461029052734375,0.385599188513301,0.6623992294064142,-0.7,162,7,1823,10
delgum,hospital,ProviderNumber,0.00727081298828125,0.00043392181396484375,0.005007028579711914,0.0018298625946044922,0.24175913958548945,0.6623992294064142,-0.7917591395854895,214,8,1823,10
delgum,hospital,ProviderNumber,0.009366035461425781,0.0004229545593261719,0.0069582462310791016,0.001984834671020508,0.21940735109689347,0.6623992294064142,-0.8694073510968935,403,9,1823,10
