method,dataset,target_attribute,total_time,init_time,model_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,num_cells_updated,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,inference_zone_size,denom_I_minus_1
delgum,hospital,ProviderNumber,0.007253885269165039,0.00012183189392089844,0.004668235778808594,0.002463817596435547,0.4767084155351684,,-0.3216875411009175,8,6,8,6,2,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.004575014114379883,12,11
delgum,hospital,ProviderNumber,0.0029222965240478516,0.00011801719665527344,0.0011730194091796875,0.0016312599182128906,0.6623992294064142,,-0.3311996147032071,0,4,0,4,0,0,,0,10.0,0.5,0.5,,,noisy_or,,,0.0011250972747802734,12,11
delgum,hospital,ProviderNumber,0.06258201599121094,0.00011491775512695312,0.05972599983215332,0.002741098403930664,0.37629147673134666,,-0.60481240503234,438,220,438,220,10,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.057537078857421875,12,11
delgum,hospital,ProviderNumber,0.007467031478881836,0.0001270771026611328,0.004774808883666992,0.002565145492553711,0.6011958479706476,,-0.3839312573186571,4,5,4,5,2,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0046808719635009766,12,11
delgum,hospital,ProviderNumber,0.006842136383056641,0.0001239776611328125,0.004260063171386719,0.0024580955505371094,0.6005002201919581,,-0.3835834434293124,2,4,2,4,2,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.004178285598754883,12,11
delgum,hospital,ProviderNumber,0.05208325386047363,0.00011587142944335938,0.04919028282165527,0.002777099609375,0.0,,-0.5,0,-1,0,-1,12,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.049118995666503906,12,11
delgum,hospital,ProviderNumber,0.1015479564666748,0.000125885009765625,0.09866499900817871,0.0027570724487304688,0.4998340371217822,,-0.6665836852275577,288,144,288,144,10,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0975041389465332,12,11
delgum,hospital,ProviderNumber,0.08354854583740234,0.0001277923583984375,0.0809938907623291,0.0024268627166748047,0.38238087639754814,,-0.6495237715321074,550,275,550,275,11,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.07858586311340332,12,11
delgum,hospital,ProviderNumber,0.004662513732910156,0.00012683868408203125,0.002198934555053711,0.002336740493774414,0.6623992294064142,,-0.37286628136987376,0,4,0,4,1,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0021500587463378906,12,11
delgum,hospital,ProviderNumber,0.01913285255432129,0.00011610984802246094,0.016743898391723633,0.0022728443145751953,0.515459018234361,,-0.5910628424505138,22,14,22,14,8,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0163419246673584,12,11
delgum,hospital,ProviderNumber,0.007718086242675781,0.000125885009765625,0.005166053771972656,0.0024261474609375,0.3812393223196061,,-0.31561966115980306,8,6,8,6,3,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.005082845687866211,12,11
delgum,hospital,ProviderNumber,0.020951032638549805,0.00011610984802246094,0.018372774124145508,0.002462148666381836,0.6123632123366014,,-0.5561816061683007,24,15,24,15,6,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.018046855926513672,12,11
delgum,hospital,ProviderNumber,0.003000974655151367,0.0001251697540283203,0.0012018680572509766,0.0016739368438720703,0.6623992294064142,,-0.3311996147032071,0,4,0,4,0,0,,0,10.0,0.5,0.5,,,noisy_or,,,0.0011529922485351562,12,11
delgum,hospital,ProviderNumber,0.007709026336669922,0.00011610984802246094,0.004871845245361328,0.002721071243286133,0.6101552232041632,,-0.3884109449354149,4,5,4,5,2,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.004775047302246094,12,11
delgum,hospital,ProviderNumber,0.01113581657409668,0.00011682510375976562,0.00865793228149414,0.0023610591888427734,0.6101552232041632,,-0.513410944935415,4,5,4,5,5,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.008545160293579102,12,11
delgum,hospital,ProviderNumber,0.00926661491394043,0.00012183189392089844,0.006779909133911133,0.0023648738861083984,0.5626500316767806,,-0.4063250158383903,2,4,2,4,3,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0066640377044677734,12,11
delgum,hospital,ProviderNumber,0.010459184646606445,0.00011706352233886719,0.007944107055664062,0.0023980140686035156,0.6110694988256998,,-0.4305347494128499,8,7,8,7,3,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.007802248001098633,12,11
delgum,hospital,ProviderNumber,0.002891063690185547,0.00011706352233886719,0.001161813735961914,0.0016121864318847656,0.6623992294064142,,-0.3311996147032071,0,4,0,4,0,0,,0,10.0,0.5,0.5,,,noisy_or,,,0.0011119842529296875,12,11
delgum,hospital,ProviderNumber,0.015787124633789062,0.00011801719665527344,0.013070106506347656,0.002599000930786133,0.6116595444437067,,-0.5141631055551867,16,11,16,11,5,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.012828826904296875,12,11
delgum,hospital,ProviderNumber,0.0048007965087890625,0.00011897087097167969,0.0027239322662353516,0.0019578933715820312,0.6090400455538584,,-0.3461866894435959,2,4,2,4,1,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0026559829711914062,12,11
delgum,hospital,ProviderNumber,0.017720699310302734,0.0001277923583984375,0.015017986297607422,0.002574920654296875,0.34463417346300473,,-0.42231708673150237,46,24,46,24,6,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.014760971069335938,12,11
delgum,hospital,ProviderNumber,0.004871368408203125,0.00013208389282226562,0.0022139549255371094,0.00252532958984375,0.6623992294064142,,-0.37286628136987376,0,4,0,4,1,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.002164125442504883,12,11
delgum,hospital,ProviderNumber,0.007445812225341797,0.0001289844512939453,0.004845857620239258,0.0024709701538085938,0.6623992294064142,,-0.4145329480365404,0,4,0,4,2,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.004759073257446289,12,11
delgum,hospital,ProviderNumber,0.00546574592590332,0.00011897087097167969,0.0029859542846679688,0.002360820770263672,0.6090400455538584,,-0.3461866894435959,2,4,2,4,1,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.002910137176513672,12,11
delgum,hospital,ProviderNumber,0.03215169906616211,0.00011324882507324219,0.029242753982543945,0.002795696258544922,0.5295990028604174,,-0.6397995014302087,80,42,80,42,9,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.028690814971923828,12,11
delgum,hospital,ProviderNumber,0.003034830093383789,0.00013184547424316406,0.001194000244140625,0.001708984375,0.6623992294064142,,-0.3311996147032071,0,4,0,4,0,0,,0,10.0,0.5,0.5,,,noisy_or,,,0.0011451244354248047,12,11
