dataset,lambda,leakage,utility,mask_size
adult,10000,0.07938108673339794,-0.4166666666666667,5
adult,10000,0.07167865178930066,-0.8333333333333334,10
adult,10000,0.39179147199384,-10000.166666666666,2
adult,10000,0.3570987456406054,-10000.5,6
adult,10000,0.0715875695384397,-0.4166666666666667,5
adult,10000,0.07153970152358546,-0.5833333333333334,7
adult,10000,0.3292287010688275,-10000.5,6
adult,10000,0.2598870251470494,-0.4166666666666667,5
adult,10000,0.2142315349907158,-0.5,6
adult,10000,0.25440458601097704,-0.4166666666666667,5
adult,10000,0.055006567413568686,-0.6666666666666666,8
adult,10000,0.3689377816185132,-10000.5,6
adult,10000,0.35899251776501295,-10000.583333333334,7
adult,10000,0.07204008838941911,-0.5833333333333334,7
adult,10000,0.3503595884234252,-10000.583333333334,7
adult,10000,0.35205501024780084,-10000.583333333334,7
adult,10000,0.003344535325837228,-0.5833333333333334,7
adult,10000,0.19687633289541717,-0.3333333333333333,4
adult,10000,0.11174008934892732,-0.5833333333333334,7
adult,10000,0.3292287010688275,-10000.25,3
adult,10000,0.1286723566017356,-0.5,6
adult,10000,0.08898291563852445,-0.5,6
adult,10000,0.13973029018528993,-0.6666666666666666,8
adult,10000,0.27060522257091724,-0.5,6
adult,10000,0.06304317797024295,-0.75,9
adult,10000,0.3689377816185132,-10000.416666666666,5
adult,10000,0.1265756312389622,-0.4166666666666667,5
adult,10000,0.4515908368694129,-10000.416666666666,5
adult,10000,0.19004939214744843,-0.5,6
adult,10000,0.3689377816185132,-10000.666666666666,8
adult,10000,0.35869848485078126,-10000.416666666666,5
adult,10000,0.193877554316629,-0.4166666666666667,5
adult,10000,0.443789132193782,-10000.166666666666,2
adult,10000,0.39179147199384,-10000.416666666666,5
adult,10000,0.05994691533467089,-0.6666666666666666,8
adult,10000,0.2726821726489278,-0.4166666666666667,5
adult,10000,0.12250505511270016,-0.5,6
adult,10000,0.1878313247026666,-0.5833333333333334,7
adult,10000,0.35034422018165634,-10000.583333333334,7
adult,10000,0.43561581086639223,-10000.416666666666,5
adult,10000,0.396029780856501,-10000.333333333334,4
adult,10000,0.49122554744404323,-10000.166666666666,2
adult,10000,0.08421178040283128,-0.5833333333333334,7
adult,10000,0.012372007079750502,-0.5833333333333334,7
adult,10000,0.06199637574091432,-0.5,6
adult,10000,0.13507931764640047,-0.4166666666666667,5
adult,10000,0.36827548533646537,-10000.416666666666,5
adult,10000,0.14401198888757627,-0.5833333333333334,7
adult,10000,0.311096281044691,-10000.666666666666,8
adult,10000,0.012722872299274157,-0.5,6
adult,10000,0.0,-0.8333333333333334,10
adult,10000,0.11174008934892732,-0.5,6
flight,10000,0.8846850956852224,-10000.615384615385,8
flight,10000,0.9826408586840785,-10000.153846153846,2
flight,10000,0.18094116044347042,-0.46153846153846156,6
flight,10000,0.2455785165522859,-0.6153846153846154,8
flight,10000,0.24980936013667854,-0.7692307692307693,10
flight,10000,0.8846850956852224,-10000.538461538461,7
flight,10000,0.14210089823029137,-0.5384615384615384,7
flight,10000,0.8846850956852224,-10000.461538461539,6
