dataset,target_attr,tau,mask_size,avg_leakage,num_masks
Onlineretail,InvoiceNo,0.3,3,0.2857142857142857,35
Onlineretail,InvoiceNo,0.3,4,0.08571428571428572,35
Onlineretail,InvoiceNo,0.3,5,0.0,21
Onlineretail,InvoiceNo,0.3,6,0.0,7
Onlineretail,InvoiceNo,0.3,7,0.0,1
Onlineretail,InvoiceNo,0.4,0,1.0,1
Onlineretail,InvoiceNo,0.4,1,0.8571428571428571,7
Onlineretail,InvoiceNo,0.4,2,0.5714285714285714,21
Onlineretail,InvoiceNo,0.4,3,0.2857142857142857,35
Onlineretail,InvoiceNo,0.4,4,0.08571428571428572,35
Onlineretail,InvoiceNo,0.4,5,0.0,21
Onlineretail,InvoiceNo,0.4,6,0.0,7
Onlineretail,InvoiceNo,0.4,7,0.0,1
Onlineretail,InvoiceNo,0.5,0,1.0,1
Onlineretail,InvoiceNo,0.5,1,0.8571428571428571,7
Onlineretail,InvoiceNo,0.5,2,0.23809523809523808,21
Onlineretail,InvoiceNo,0.5,3,0.0,35
Onlineretail,InvoiceNo,0.5,4,0.0,35
Onlineretail,InvoiceNo,0.5,5,0.0,21
Onlineretail,InvoiceNo,0.5,6,0.0,7
Onlineretail,InvoiceNo,0.5,7,0.0,1
Onlineretail,InvoiceNo,0.6,0,1.0,1
Onlineretail,InvoiceNo,0.6,1,0.8571428571428571,7
Onlineretail,InvoiceNo,0.6,2,0.23809523809523808,21
Onlineretail,InvoiceNo,0.6,3,0.0,35
Onlineretail,InvoiceNo,0.6,4,0.0,35
Onlineretail,InvoiceNo,0.6,5,0.0,21
Onlineretail,InvoiceNo,0.6,6,0.0,7
Onlineretail,InvoiceNo,0.6,7,0.0,1
Onlineretail,InvoiceNo,0.7,0,1.0,1
Onlineretail,InvoiceNo,0.7,1,0.8571428571428571,7
Onlineretail,InvoiceNo,0.7,2,0.23809523809523808,21
Onlineretail,InvoiceNo,0.7,3,0.0,35
Onlineretail,InvoiceNo,0.7,4,0.0,35
Onlineretail,InvoiceNo,0.7,5,0.0,21
Onlineretail,InvoiceNo,0.7,6,0.0,7
Onlineretail,InvoiceNo,0.7,7,0.0,1
Onlineretail,InvoiceNo,0.8,0,1.0,1
Onlineretail,InvoiceNo,0.8,1,0.8571428571428571,7
Onlineretail,InvoiceNo,0.8,2,0.23809523809523808,21
Onlineretail,InvoiceNo,0.8,3,0.0,35
Onlineretail,InvoiceNo,0.8,4,0.0,35
Onlineretail,InvoiceNo,0.8,5,0.0,21
Onlineretail,InvoiceNo,0.8,6,0.0,7
Onlineretail,InvoiceNo,0.8,7,0.0,1
Onlineretail,InvoiceNo,0.9,0,1.0,1
Onlineretail,InvoiceNo,0.9,1,0.8571428571428571,7
