lambda,leakage,utility,mask_size
0.15,0.0,-0.16999999999999998,2
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,0.0,-0.33999999999999997,4
0.15,1.0,-0.15,0
0.15,1.0,-0.31999999999999995,2
0.15,1.0,-0.15,0
0.15,1.0,-0.31999999999999995,2
0.15,1.0,-0.31999999999999995,2
0.15,1.0,-0.15,0
0.15,0.0,-0.16999999999999998,2
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,1.0,-0.235,1
0.15,0.0,-0.255,3
0.15,1.0,-0.15,0
0.15,1.0,-0.235,1
0.15,1.0,-0.235,1
0.15,1.0,-0.15,0
0.15,0.0,-0.255,3
0.15,1.0,-0.15,0
0.15,1.0,-0.235,1
0.15,1.0,-0.235,1
0.15,1.0,-0.15,0
0.15,1.0,-0.15,0
0.15,0.0,-0.255,3
0.15,1.0,-0.235,1
