beta,leakage,utility,mask_size
4.0,1.0,-29.0,7
4.0,1.0,-41.0,10
4.0,0.0,-40.0,10
4.0,1.0,-41.0,10
4.0,1.0,-41.0,10
4.0,1.0,-41.0,10
4.0,0.0,-40.0,10
4.0,1.0,-41.0,10
4.0,1.0,-41.0,10
4.0,1.0,-41.0,10
4.0,1.0,-41.0,10
4.0,1.0,-37.0,9
4.0,1.0,-41.0,10
4.0,1.0,-33.0,8
4.0,1.0,-37.0,9
4.0,1.0,-21.0,5
4.0,1.0,-29.0,7
4.0,1.0,-41.0,10
4.0,1.0,-41.0,10
4.0,1.0,-41.0,10
4.0,1.0,-21.0,5
4.0,1.0,-41.0,10
4.0,1.0,-41.0,10
4.0,1.0,-41.0,10
4.0,1.0,-41.0,10
4.0,1.0,-41.0,10
4.0,1.0,-41.0,10
4.0,0.0,-28.0,7
4.0,0.0,-24.0,6
4.0,0.0,-28.0,7
4.0,0.0,-24.0,6
4.0,0.0,-24.0,6
4.0,0.0,-24.0,6
4.0,0.0,-28.0,7
4.0,9.999778782798785e-13,-16.000000000001,4
4.0,1.0,-9.0,2
4.0,1.0,-5.0,1
4.0,1.0,-17.0,4
4.0,0.0,-36.0,9
4.0,0.0,-20.0,5
4.0,0.0,-40.0,10
4.0,0.0,-32.0,8
4.0,1.0,-37.0,9
4.0,0.0,-40.0,10
4.0,0.0,-20.0,5
4.0,0.0,-40.0,10
4.0,0.0,-40.0,10
beta,leakage,utility,mask_size
4.5,1.0,-23.5,5
4.5,0.0,-45.0,10
4.5,1.0,-46.0,10
4.5,1.0,-28.0,6
4.5,0.0,-36.0,8
4.5,1.0,-46.0,10
4.5,0.0,-36.0,8
4.5,1.0,-46.0,10
4.5,1.0,-46.0,10
4.5,1.0,-46.0,10
4.5,1.0,-46.0,10
4.5,1.0,-46.0,10
4.5,1.0,-46.0,10
4.5,1.0,-37.0,8
4.5,1.0,-46.0,10
4.5,1.0,-46.0,10
4.5,1.0,-46.0,10
4.5,1.0,-46.0,10
4.5,1.0,-32.5,7
4.5,1.0,-46.0,10
4.5,1.0,-46.0,10
4.5,1.0,-46.0,10
4.5,1.0,-32.5,7
4.5,1.0,-28.0,6
4.5,1.0,-46.0,10
4.5,1.0,-46.0,10
4.5,1.0,-46.0,10
4.5,1.0,-28.0,6
4.5,1.0,-46.0,10
4.5,1.0,-46.0,10
4.5,0.0,-22.5,5
4.5,0.0,-27.0,6
