dataset,target_cell,tau,rho,mask_size,leakage
airport,home_link,0.4,1.0,4,0.149188
airport,home_link,0.4,1.0,4,0.169760
airport,home_link,0.4,1.0,4,0.124230
airport,home_link,0.4,1.0,4,0.133272
airport,home_link,0.4,1.0,4,0.122267
airport,home_link,0.4,1.0,4,0.068459
airport,home_link,0.4,1.0,4,0.124199
airport,home_link,0.4,1.0,4,0.169833
airport,home_link,0.4,1.0,4,0.167449
airport,home_link,0.4,1.0,4,0.146886
airport,home_link,0.4,1.0,4,0.169672
airport,home_link,0.4,1.0,4,0.167801
airport,home_link,0.4,1.0,4,0.151719
airport,home_link,0.4,1.0,4,0.169909
airport,home_link,0.4,1.0,4,0.131623
airport,home_link,0.4,1.0,4,0.167584
airport,home_link,0.4,1.0,4,0.149111
airport,home_link,0.4,1.0,4,0.112247
airport,home_link,0.4,1.0,4,0.124323
airport,home_link,0.4,1.0,4,0.111442
airport,home_link,0.4,1.0,4,0.048716
airport,home_link,0.4,1.0,4,0.112184
airport,home_link,0.4,1.0,4,0.169675
airport,home_link,0.4,1.0,4,0.167218
airport,home_link,0.4,1.0,4,0.143433
airport,home_link,0.4,1.0,4,0.169435
airport,home_link,0.4,1.0,4,0.167588
airport,home_link,0.4,1.0,4,0.149132
airport,home_link,0.4,1.0,4,0.169758
airport,home_link,0.4,1.0,4,0.126264
airport,home_link,0.4,1.0,4,0.167364
airport,home_link,0.4,1.0,4,0.146048
airport,home_link,0.4,1.0,4,0.124082
airport,home_link,0.4,1.0,4,0.111056
airport,home_link,0.4,1.0,4,0.046676
airport,home_link,0.4,1.0,4,0.111901
airport,home_link,0.4,1.0,4,0.122065
airport,home_link,0.4,1.0,4,0.068107
airport,home_link,0.4,1.0,4,0.124047
airport,home_link,0.4,1.0,4,0.048103
airport,home_link,0.4,1.0,4,0.111128
airport,home_link,0.4,1.0,4,0.048413
airport,home_link,0.4,1.0,4,0.167447
airport,home_link,0.4,1.0,4,0.146842
airport,home_link,0.4,1.0,4,0.169670
airport,home_link,0.4,1.0,4,0.121445
airport,home_link,0.4,1.0,4,0.167212
airport,home_link,0.4,1.0,4,0.143338
airport,home_link,0.4,1.0,4,0.131496
airport,home_link,0.4,1.0,4,0.167581
airport,home_link,0.4,1.0,4,0.149055
airport,home_link,0.4,1.0,4,0.126111
airport,home_link,0.4,1.0,4,0.152133
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.160496
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.151950
airport,home_link,0.4,1.0,4,0.156036
airport,home_link,0.4,1.0,4,0.148671
airport,home_link,0.4,1.0,4,0.104648
airport,home_link,0.4,1.0,4,0.151980
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.159429
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.162010
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.140037
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.160440
airport,home_link,0.4,1.0,4,0.147147
airport,home_link,0.4,1.0,4,0.152133
airport,home_link,0.4,1.0,4,0.143170
airport,home_link,0.4,1.0,4,0.096925
airport,home_link,0.4,1.0,4,0.147185
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.157581
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.160496
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.135674
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.158724
airport,home_link,0.4,1.0,4,0.151950
airport,home_link,0.4,1.0,4,0.142835
airport,home_link,0.4,1.0,4,0.094367
airport,home_link,0.4,1.0,4,0.146959
airport,home_link,0.4,1.0,4,0.148671
airport,home_link,0.4,1.0,4,0.104648
airport,home_link,0.4,1.0,4,0.151980
airport,home_link,0.4,1.0,4,0.060705
airport,home_link,0.4,1.0,4,0.142958
airport,home_link,0.4,1.0,4,0.096651
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.159429
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.132501
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.157513
airport,home_link,0.4,1.0,4,0.140037
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.160440
airport,home_link,0.4,1.0,4,0.135513
airport,home_link,0.4,1.0,4,0.148846
airport,home_link,0.4,1.0,4,0.154268
airport,home_link,0.4,1.0,4,0.146676
airport,home_link,0.4,1.0,4,0.104975
airport,home_link,0.4,1.0,4,0.148987
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.158231
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.161501
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.139070
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.159699
airport,home_link,0.4,1.0,4,0.154047
airport,home_link,0.4,1.0,4,0.146288
airport,home_link,0.4,1.0,4,0.101487
airport,home_link,0.4,1.0,4,0.148689
airport,home_link,0.4,1.0,4,0.152146
airport,home_link,0.4,1.0,4,0.115844
airport,home_link,0.4,1.0,4,0.154143
airport,home_link,0.4,1.0,4,0.076994
airport,home_link,0.4,1.0,4,0.146509
airport,home_link,0.4,1.0,4,0.104805
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.160223
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.135173
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.158172
airport,home_link,0.4,1.0,4,0.143333
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.161454
airport,home_link,0.4,1.0,4,0.138939
airport,home_link,0.4,1.0,4,0.148798
airport,home_link,0.4,1.0,4,0.138747
airport,home_link,0.4,1.0,4,0.089202
airport,home_link,0.4,1.0,4,0.141063
airport,home_link,0.4,1.0,4,0.146580
airport,home_link,0.4,1.0,4,0.104800
airport,home_link,0.4,1.0,4,0.148936
airport,home_link,0.4,1.0,4,0.062896
airport,home_link,0.4,1.0,4,0.139054
airport,home_link,0.4,1.0,4,0.092502
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.158212
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.129253
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.155420
airport,home_link,0.4,1.0,4,0.138976
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.159672
airport,home_link,0.4,1.0,4,0.133719
airport,home_link,0.4,1.0,4,0.146193
airport,home_link,0.4,1.0,4,0.101331
airport,home_link,0.4,1.0,4,0.148641
airport,home_link,0.4,1.0,4,0.055426
airport,home_link,0.4,1.0,4,0.138534
airport,home_link,0.4,1.0,4,0.088946
airport,home_link,0.4,1.0,4,0.076702
airport,home_link,0.4,1.0,4,0.146412
airport,home_link,0.4,1.0,4,0.104629
airport,home_link,0.4,1.0,4,0.062707
airport,home_link,0.4,1.0,4,0.135098
airport,home_link,0.4,1.0,4,0.173141
airport,home_link,0.4,1.0,4,0.158154
airport,home_link,0.4,1.0,4,0.129088
airport,home_link,0.4,1.0,4,0.138844
airport,home_link,0.4,1.0,5,0.119007
airport,home_link,0.4,1.0,5,0.169616
airport,home_link,0.4,1.0,5,0.169847
airport,home_link,0.4,1.0,5,0.167473
airport,home_link,0.4,1.0,5,0.147179
airport,home_link,0.4,1.0,5,0.169678
airport,home_link,0.4,1.0,5,0.118823
airport,home_link,0.4,1.0,5,0.127847
airport,home_link,0.4,1.0,5,0.114678
airport,home_link,0.4,1.0,5,0.048268
airport,home_link,0.4,1.0,5,0.118662
airport,home_link,0.4,1.0,5,0.169782
airport,home_link,0.4,1.0,5,0.167363
airport,home_link,0.4,1.0,5,0.145319
airport,home_link,0.4,1.0,5,0.169610
airport,home_link,0.4,1.0,5,0.167703
airport,home_link,0.4,1.0,5,0.149768
airport,home_link,0.4,1.0,5,0.169842
airport,home_link,0.4,1.0,5,0.126993
airport,home_link,0.4,1.0,5,0.167465
airport,home_link,0.4,1.0,5,0.147085
airport,home_link,0.4,1.0,5,0.108022
airport,home_link,0.4,1.0,5,0.119007
airport,home_link,0.4,1.0,5,0.104110
airport,home_link,0.4,1.0,5,0.034813
airport,home_link,0.4,1.0,5,0.107798
airport,home_link,0.4,1.0,5,0.169616
airport,home_link,0.4,1.0,5,0.167119
airport,home_link,0.4,1.0,5,0.142216
airport,home_link,0.4,1.0,5,0.169435
airport,home_link,0.4,1.0,5,0.167473
airport,home_link,0.4,1.0,5,0.147179
airport,home_link,0.4,1.0,5,0.169678
airport,home_link,0.4,1.0,5,0.121705
airport,home_link,0.4,1.0,5,0.167225
airport,home_link,0.4,1.0,5,0.144189
airport,home_link,0.4,1.0,5,0.118823
airport,home_link,0.4,1.0,5,0.103828
airport,home_link,0.4,1.0,5,0.033675
airport,home_link,0.4,1.0,5,0.107600
airport,home_link,0.4,1.0,5,0.114678
airport,home_link,0.4,1.0,5,0.048268
airport,home_link,0.4,1.0,5,0.118662
airport,home_link,0.4,1.0,5,0.029511
airport,home_link,0.4,1.0,5,0.103703
airport,home_link,0.4,1.0,5,0.034338
airport,home_link,0.4,1.0,5,0.167363
airport,home_link,0.4,1.0,5,0.145319
airport,home_link,0.4,1.0,5,0.169610
airport,home_link,0.4,1.0,5,0.117880
airport,home_link,0.4,1.0,5,0.167111
airport,home_link,0.4,1.0,5,0.142103
airport,home_link,0.4,1.0,5,0.126993
