dataset,target_attr,tau,rho,zone_size,num_edges_after_tau,mask,mask_size,leakage,active_edges,blocked_edges,num_chains,active_chains,blocked_chains,total_time
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp,salary,single_exemp}",4,0.0,7,19,0,0,0,5.984306335449219e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp,salary,state}",4,0.9485893796622411,8,18,69,1,68,0.00023484230041503906
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp,single_exemp,state}",4,0.0,4,22,0,0,0,6.818771362304688e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,rate,salary,single_exemp}",4,0.9704802186671765,13,13,13,2,11,8.225440979003906e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,rate,salary,state}",4,0.9999981354364993,17,9,17,9,8,9.608268737792969e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,rate,single_exemp,state}",4,0.9486098404942003,8,18,61,1,60,0.00022602081298828125
tax,marital_status,1.0,1.0,8,26,"{has_child,salary,single_exemp,state}",4,0.9486098404942003,8,18,61,1,60,0.00021719932556152344
tax,marital_status,1.0,1.0,8,26,"{married_exemp,rate,salary,single_exemp}",4,0.0,5,21,0,0,0,4.410743713378906e-05
tax,marital_status,1.0,1.0,8,26,"{married_exemp,rate,salary,state}",4,0.9485893796622411,10,16,24,1,23,0.000102996826171875
tax,marital_status,1.0,1.0,8,26,"{married_exemp,rate,single_exemp,state}",4,0.0,6,20,0,0,0,6.29425048828125e-05
tax,marital_status,1.0,1.0,8,26,"{married_exemp,salary,single_exemp,state}",4,0.0,6,20,0,0,0,6.413459777832031e-05
tax,marital_status,1.0,1.0,8,26,"{rate,salary,single_exemp,state}",4,0.9486098404942003,10,16,22,1,21,0.00010323524475097656
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,married_exemp,rate}",5,0.9966144209463859,9,17,33,3,30,0.00015878677368164062
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,married_exemp,salary}",5,0.9966144209463859,9,17,33,3,30,0.0001461505889892578
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,married_exemp,single_exemp}",5,0.0,3,23,0,0,0,7.295608520507812e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,married_exemp,state}",5,0.8992217018817723,4,22,48,0,48,0.00021004676818847656
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,rate,salary}",5,0.9999998792599425,18,8,13,11,2,7.200241088867188e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,rate,single_exemp}",5,0.9497300713245109,7,19,37,1,36,0.0001468658447265625
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,rate,state}",5,0.9999876252933931,13,13,31,7,24,0.00014495849609375
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,salary,single_exemp}",5,0.9497300713245109,7,19,37,1,36,0.0001342296600341797
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,salary,state}",5,0.9999876252933931,13,13,31,7,24,0.00014019012451171875
