-----airport-----
target_attribute,total_time,init_time,model_time,del_time,leakage,utility,paths_blocked,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells
latitude_deg,0.008433818817138672,0.0,0.0031380653381347656,0.0026149749755859375,1.0,-4.0,12,6,24,9748776,27
latitude_deg,0.010102987289428711,0.0,0.003344297409057617,0.0040798187255859375,0.0,-5.5,24,11,24,9748776,27
latitude_deg,0.008649826049804688,0.0,0.0031890869140625,0.0027718544006347656,1.0,-4.0,19,6,24,9748776,27
latitude_deg,0.00813603401184082,0.0,0.0031900405883789062,0.002277851104736328,1.0,-2.0,4,2,24,9748776,27
latitude_deg,0.008844852447509766,0.0,0.0032629966735839844,0.0029430389404296875,0.0,-4.0,24,8,24,9748776,27
latitude_deg,0.00941014289855957,0.0,0.0032422542572021484,0.003481149673461914,1.0,-5.5,22,9,24,9748776,27
latitude_deg,0.008975982666015625,0.0,0.0032148361206054688,0.003027200698852539,1.0,-3.5,10,5,24,9748776,27
latitude_deg,0.010193824768066406,0.0,0.003841876983642578,0.0035321712493896484,1.0,-3.0,17,4,24,9748776,27
latitude_deg,0.008882761001586914,0.0,0.0033059120178222656,0.002794981002807617,1.0,-4.5,21,7,24,9748776,27
latitude_deg,0.009387016296386719,0.0,0.003426074981689453,0.003076791763305664,1.0,-5.0,21,8,24,9748776,27
latitude_deg,0.01036524772644043,0.0,0.0038299560546875,0.003622770309448242,1.0,-4.5,16,7,24,9748776,27
latitude_deg,0.010296821594238281,0.0,0.0034019947052001953,0.004025697708129883,1.0,-6.0,23,10,24,9748776,27
latitude_deg,0.009306192398071289,0.0,0.0033721923828125,0.003059864044189453,1.0,-3.5,9,5,24,9748776,27
latitude_deg,0.00933980941772461,0.0,0.003448009490966797,0.0030770301818847656,1.0,-4.0,14,6,24,9748776,27
latitude_deg,0.010576963424682617,0.0,0.0034101009368896484,0.004271984100341797,1.0,-5.5,17,9,24,9748776,27
latitude_deg,0.009917974472045898,0.0,0.003450155258178711,0.003653287887573242,1.0,-4.0,20,6,24,9748776,27
latitude_deg,0.009725093841552734,0.0,0.0034618377685546875,0.0034379959106445312,0.0,-5.0,24,10,24,9748776,27
latitude_deg,0.009788990020751953,0.0,0.0034208297729492188,0.0036039352416992188,1.0,-5.0,16,8,24,9748776,27
