alpha,leakage,utility,mask_size
11,1.0,-16.0,10
11,1.0,-16.0,10
11,1.0,-16.0,10
11,0.0,-3.5,7
11,1.0,-12.0,2
11,1.0,-13.0,4
11,1.0,-11.0,0
11,9.999778782798785e-13,-3.0000000000109996,6
11,0.0,-3.0,6
11,0.0,-3.5,7
11,1.0,-11.5,1
11,0.0,-3.5,7
11,0.0,-3.5,7
11,0.0,-5.0,10
11,1.0,-15.5,9
11,0.0,-5.0,10
11,0.0,-3.0,6
11,1.0,-11.0,0
11,0.0,-4.5,9
11,0.0,-4.5,9
11,1.0,-11.5,1
11,0.0,-2.5,5
11,0.0,-5.0,10
alpha,leakage,utility,mask_size
12,1.0,-17.0,10
12,0.0,-5.0,10
12,1.0,-17.0,10
12,1.0,-16.0,8
12,0.0,-5.0,10
12,0.0,-5.0,10
12,0.0,-5.0,10
12,1.0,-17.0,10
12,1.0,-17.0,10
12,1.0,-15.0,6
12,1.0,-17.0,10
12,1.0,-17.0,10
12,1.0,-17.0,10
12,1.0,-17.0,10
12,1.0,-15.5,7
12,1.0,-17.0,10
12,1.0,-17.0,10
12,1.0,-16.5,9
12,1.0,-17.0,10
12,1.0,-13.0,2
12,1.0,-17.0,10
12,1.0,-15.0,6
12,1.0,-17.0,10
12,1.0,-17.0,10
12,1.0,-17.0,10
12,1.0,-17.0,10
12,1.0,-17.0,10
12,1.0,-17.0,10
12,1.0,-17.0,10
12,1.0,-17.0,10
12,9.999778782798785e-13,-2.0000000000119997,4
12,0.0,-3.5,7
12,0.0,-3.5,7
12,0.0,-3.0,6
12,0.0,-3.0,6
12,0.0,-3.5,7
12,1.0,-13.5,3
12,1.0,-13.0,2
12,9.999778782798785e-13,-3.0000000000119997,6
12,1.0,-14.0,4
12,0.0,-4.5,9
12,1.0,-16.5,9
12,0.0,-3.5,7
12,0.0,-4.0,8
12,0.0,-4.0,8
12,0.0,-4.0,8
12,0.0,-3.5,7
12,0.0,-5.0,10
12,0.0,-5.0,10
12,1.0,-14.5,5
alpha,leakage,utility,mask_size
13,1.0,-17.5,9
13,1.0,-18.0,10
13,1.0,-16.0,6
13,1.0,-18.0,10
13,0.0,-5.0,10
13,0.0,-3.5,7
13,1.0,-18.0,10
13,1.0,-18.0,10
13,0.0,-5.0,10
13,1.0,-18.0,10
13,1.0,-18.0,10
13,1.0,-14.5,3
13,1.0,-18.0,10
13,1.0,-18.0,10
13,1.0,-18.0,10
13,1.0,-16.5,7
13,1.0,-17.0,8
13,1.0,-14.0,2
13,1.0,-18.0,10
13,1.0,-17.5,9
13,1.0,-18.0,10
13,1.0,-18.0,10
