dataset,epsilon,L0,leakage,utility,mask_size
hospital,0.1,0.3,0.3764851312661076,-100.5,5
hospital,0.1,0.3,0.49676169740756204,-100.4,4
hospital,0.1,0.3,0.3764851312661076,-100.5,5
hospital,0.1,0.3,0.6623992294064142,-100.1,1
hospital,0.1,0.3,0.21945273335876703,-0.5,5
adult,0.1,0.3,0.4019002090788759,-100.58333333333333,7
adult,0.1,0.3,0.3602428188084117,-100.41666666666667,5
adult,0.1,0.3,0.06590522876458327,-0.5,6
adult,0.1,0.3,0.09199866320537664,-0.3333333333333333,4
adult,0.1,0.3,0.3602428188084117,-100.41666666666667,5
adult,0.1,0.3,0.35869848485078126,-100.41666666666667,5
adult,0.1,0.3,0.48475624726570254,-100.25,3
adult,0.1,0.3,0.07458490752541724,-0.5,6
adult,0.1,0.3,0.08129409482449701,-0.5,6
adult,0.1,0.3,0.3176491522669148,-100.5,6
adult,0.1,0.3,0.0009027763561284541,-0.75,9
adult,0.1,0.3,0.13053632519572766,-0.5,6
adult,0.1,0.3,0.4019002090788759,-100.33333333333333,4
adult,0.1,0.3,0.09199866320537664,-0.5833333333333334,7
adult,0.1,0.3,0.2634339933691807,-0.25,3
adult,0.1,0.3,0.24874061602804975,-0.3333333333333333,4
adult,0.1,0.3,0.443789132193782,-100.16666666666667,2
adult,0.1,0.3,0.08065140489033817,-0.5,6
adult,0.1,0.3,0.08555683620101984,-0.5,6
adult,0.1,0.3,0.02127085954598329,-0.5833333333333334,7
adult,0.1,0.3,0.13560492711125438,-0.5,6
adult,0.1,0.3,0.1886157481530516,-0.4166666666666667,5
adult,0.1,0.3,0.3689377816185132,-100.25,3
adult,0.1,0.3,0.10651596730398294,-0.4166666666666667,5
adult,0.1,0.3,0.07153705234156527,-0.5833333333333334,7
adult,0.1,0.3,0.15568981097001655,-0.5,6
adult,0.1,0.3,0.35205501024780084,-100.41666666666667,5
adult,0.1,0.3,0.08089777707595014,-0.5833333333333334,7
adult,0.1,0.3,0.312030766384366,-100.58333333333333,7
adult,0.1,0.3,0.49122554744404323,-100.25,3
adult,0.1,0.3,0.12034420633378995,-0.5,6
adult,0.1,0.3,0.32349701655215324,-100.5,6
adult,0.1,0.3,0.014630816395805768,-0.75,9
adult,0.1,0.3,0.135682350389002,-0.4166666666666667,5
adult,0.1,0.3,0.0805402133950166,-0.5,6
adult,0.1,0.3,0.1954499162045602,-0.3333333333333333,4
adult,0.1,0.3,0.0744644746040094,-0.75,9
adult,0.1,0.3,0.14812295795010155,-0.25,3
adult,0.1,0.3,0.0800450999406711,-0.5833333333333334,7
adult,0.1,0.3,0.0296035046818528,-0.5833333333333334,7
adult,0.1,0.3,0.36827548533646537,-100.33333333333333,4
adult,0.1,0.3,0.3504845905164511,-100.41666666666667,5
adult,0.1,0.3,0.07568757850743024,-0.5833333333333334,7
adult,0.1,0.3,0.11650855397496152,-0.4166666666666667,5
adult,0.1,0.3,0.3689377816185132,-100.5,6
adult,0.1,0.3,0.40940983353048355,-100.25,3
adult,0.1,0.3,0.07938108673339794,-0.4166666666666667,5
adult,0.1,0.3,0.098503853030243,-0.3333333333333333,4
adult,0.1,0.3,0.13700496159581355,-0.5,6
adult,0.1,0.3,0.13560492711125438,-0.5,6
adult,0.1,0.3,0.02790063407188892,-0.5833333333333334,7
adult,0.1,0.3,0.135682350389002,-0.4166666666666667,5
adult,0.1,0.3,0.1886157481530516,-0.5833333333333334,7
adult,0.1,0.3,0.20555169031236964,-0.25,3
adult,0.1,0.3,0.25440458601097704,-0.5,6
adult,0.1,0.3,0.07314533135798018,-0.5833333333333334,7
adult,0.1,0.3,0.13346141606678164,-0.3333333333333333,4
adult,0.1,0.3,0.06590522876458327,-0.6666666666666666,8
adult,0.1,0.3,0.13560492711125438,-0.3333333333333333,4
adult,0.1,0.3,0.07035367527961023,-0.5833333333333334,7
adult,0.1,0.3,0.11643341894354942,-0.6666666666666666,8
adult,0.1,0.3,0.11873379686249164,-0.5,6
adult,0.1,0.3,0.09010807565150813,-0.6666666666666666,8
adult,0.1,0.3,0.3292287010688275,-100.5,6
adult,0.1,0.3,0.2726821726489278,-0.3333333333333333,4
adult,0.1,0.3,0.07129118921968924,-0.5833333333333334,7
adult,0.1,0.3,0.2726821726489278,-0.3333333333333333,4
adult,0.1,0.3,0.34900270324221216,-100.5,6
adult,0.1,0.3,0.12270688434069033,-0.6666666666666666,8
adult,0.1,0.3,0.1052628956832925,-0.5833333333333334,7
adult,0.1,0.3,0.14812295795010155,-0.5,6
adult,0.1,0.3,0.3118714646505272,-100.41666666666667,5
adult,0.1,0.3,0.12077819213930197,-0.4166666666666667,5
adult,0.1,0.3,0.06590522876458327,-0.5833333333333334,7
adult,0.1,0.3,0.26016440275747366,-0.5,6
adult,0.1,0.3,0.15662894254159787,-0.5,6
adult,0.1,0.3,0.07204008838941911,-0.5833333333333334,7
adult,0.1,0.3,0.07345534767683137,-0.75,9
adult,0.1,0.3,0.21832336295819577,-0.5833333333333334,7
adult,0.1,0.3,0.0047074061957709246,-0.8333333333333334,10
adult,0.1,0.3,0.25382094151757983,-0.3333333333333333,4
adult,0.1,0.3,0.26016440275747366,-0.4166666666666667,5
adult,0.1,0.3,0.13700496159581355,-0.4166666666666667,5
adult,0.1,0.3,0.11501007707951649,-0.4166666666666667,5
adult,0.1,0.3,0.35869848485078126,-100.25,3
adult,0.1,0.3,0.35869848485078126,-100.33333333333333,4
adult,0.1,0.3,0.14812295795010155,-0.25,3
adult,0.1,0.3,0.17725159008756586,-0.6666666666666666,8
adult,0.1,0.3,0.2619944952694371,-0.4166666666666667,5
adult,0.1,0.3,0.06590522876458327,-0.6666666666666666,8
adult,0.1,0.3,0.48475624726570254,-100.16666666666667,2
adult,0.1,0.3,0.20874928986103947,-0.4166666666666667,5
adult,0.1,0.3,0.2503196214438592,-0.4166666666666667,5
adult,0.1,0.3,0.36827548533646537,-100.33333333333333,4
adult,0.1,0.3,0.12964246975491212,-0.4166666666666667,5
adult,0.1,0.3,0.34735545652072686,-100.33333333333333,4
adult,0.1,0.3,0.3420631686988853,-100.41666666666667,5
adult,0.1,0.3,0.12671518289575445,-0.5833333333333334,7
adult,0.1,0.3,0.06494594038142054,-0.5833333333333334,7
adult,0.1,0.3,0.3206995367957376,-100.5,6
