dataset,epsilon,leakage,utility,mask_size
adult,0.8,0.3138124923455625,-100.41666666666667,5
adult,0.8,0.3507251203521502,-100.58333333333333,7
adult,0.8,0.0027453516058025818,-0.8333333333333334,10
adult,0.8,0.13754217745055075,-0.4166666666666667,5
adult,0.8,0.11023352473050418,-0.5833333333333334,7
adult,0.8,0.05804198636836522,-0.4166666666666667,5
adult,0.8,0.24952632784690087,-0.4166666666666667,5
adult,0.8,0.0035473236271421626,-0.5833333333333334,7
adult,0.8,0.0628062326186768,-0.5833333333333334,7
adult,0.8,0.07154183264020697,-0.5833333333333334,7
adult,0.8,0.2507970400089672,-0.3333333333333333,4
adult,0.8,0.39669221622365947,-100.41666666666667,5
adult,0.8,0.05544825654912722,-0.6666666666666666,8
adult,0.8,0.34900270324221216,-100.5,6
adult,0.8,0.38463618147327217,-100.33333333333333,4
adult,0.8,0.39669221622365947,-100.25,3
adult,0.8,0.3176491522669148,-100.58333333333333,7
adult,0.8,0.4837492874056374,-100.25,3
adult,0.8,0.35464560040552584,-100.5,6
adult,0.8,0.02081924993057771,-0.75,9
adult,0.8,0.4529639280348353,-100.25,3
adult,0.8,0.07155363936751191,-0.5833333333333334,7
adult,0.8,0.030563535283323784,-0.6666666666666666,8
adult,0.8,0.1199903412747102,-0.6666666666666666,8
adult,0.8,0.08265074730378996,-0.4166666666666667,5
adult,0.8,0.4400981151104615,-100.25,3
adult,0.8,0.07692492647331284,-0.5833333333333334,7
adult,0.8,0.07154183264020697,-0.5833333333333334,7
adult,0.8,0.07153201901807926,-0.5833333333333334,7
adult,0.8,0.07441230210015781,-0.5833333333333334,7
adult,0.8,0.19136135316976532,-0.4166666666666667,5
adult,0.8,0.2619944952694371,-0.3333333333333333,4
adult,0.8,0.0549373740911705,-0.6666666666666666,8
adult,0.8,0.09234196591219457,-0.5,6
adult,0.8,0.11174008934892732,-0.4166666666666667,5
adult,0.8,0.2726821726489278,-0.4166666666666667,5
adult,0.8,0.07675883217932633,-0.5833333333333334,7
adult,0.8,0.3549121986195237,-100.5,6
adult,0.8,0.3542891463116872,-100.41666666666667,5
adult,0.8,0.07855769788271605,-0.5833333333333334,7
adult,0.8,0.060597469601742504,-0.6666666666666666,8
adult,0.8,0.07900425318959592,-0.5833333333333334,7
adult,0.8,0.37153703188318377,-100.41666666666667,5
adult,0.8,0.050453101252197374,-0.6666666666666666,8
flight,0.8,0.9680567115073361,-100.46153846153847,6
flight,0.8,0.13860775127558567,-0.38461538461538464,5
flight,0.8,0.9826408586840785,-100.53846153846153,7
flight,0.8,0.9680567115073361,-100.15384615384616,2
flight,0.8,0.08907123541814055,-0.6923076923076923,9
flight,0.8,0.9680567115073361,-100.53846153846153,7
flight,0.8,0.1689864093151694,-0.3076923076923077,4
flight,0.8,0.9680567115073361,-100.38461538461539,5
flight,0.8,0.12744625720955838,-0.6153846153846154,8
flight,0.8,0.1689864093151694,-0.5384615384615384,7
flight,0.8,0.13818569520024426,-0.5384615384615384,7
flight,0.8,0.8846850956852224,-100.61538461538461,8
flight,0.8,0.08907123541814055,-0.5384615384615384,7
flight,0.8,0.14967373381862104,-0.46153846153846156,6
flight,0.8,0.9680567115073361,-100.46153846153847,6
flight,0.8,0.9826408586840785,-100.3076923076923,4
flight,0.8,0.7637041577312637,-100.38461538461539,5
flight,0.8,0.9826408586840785,-100.46153846153847,6
flight,0.8,0.8846850956852224,-100.6923076923077,9
flight,0.8,0.18094116044347042,-0.6923076923076923,9
flight,0.8,0.9680567115073361,-100.38461538461539,5
flight,0.8,0.7637041577312637,-100.38461538461539,5
flight,0.8,0.9826408586840785,-100.3076923076923,4
flight,0.8,0.2455785165522859,-0.6923076923076923,9
flight,0.8,0.13514845205100667,-0.38461538461538464,5
flight,0.8,0.8846850956852224,-100.6923076923077,9
flight,0.8,0.17632192147614734,-0.46153846153846156,6
flight,0.8,0.8846850956852224,-100.53846153846153,7
flight,0.8,0.9680567115073361,-100.46153846153847,6
flight,0.8,0.7637041577312637,-100.46153846153847,6
flight,0.8,0.9826408586840785,-100.46153846153847,6
flight,0.8,0.7806898343893851,-100.53846153846153,7
flight,0.8,0.9680567115073361,-100.6923076923077,9
flight,0.8,0.9826408586840785,-100.3076923076923,4
flight,0.8,0.9826408586840785,-100.15384615384616,2
flight,0.8,0.9826408586840785,-100.3076923076923,4
flight,0.8,0.9826408586840785,-100.38461538461539,5
flight,0.8,0.2455785165522859,-0.46153846153846156,6
flight,0.8,0.7835724119593105,-100.76923076923077,10
