dc_id,dc_str,m,nV,nE_best,best_head_idx,best_base,weight
96,t0.AirlineID int LESS t1.AirlineID int AND t0.OriginCityMarketID int GREATER t1.OriginCityMarketID int AND t0.FlightDate String EQUAL t1.FlightDate String,3,100000,0,-1,0.0,0.0
97,t0.OriginCityMarketID int LESS t1.OriginCityMarketID int AND t0.OriginAirportID int GREATER_EQUAL t1.OriginAirportID int AND t0.OriginStateName String EQUAL t1.OriginStateName String,3,100000,0,-1,0.0,0.0
98,t0.OriginAirportID int LESS t1.OriginAirportID int AND t0.OriginCityMarketID int GREATER_EQUAL t1.OriginCityMarketID int AND t0.OriginStateName String EQUAL t1.OriginStateName String,3,100000,0,-1,0.0,0.0
99,t0.OriginCityName String EQUAL t1.OriginCityName String AND t0.AirlineID int EQUAL t1.AirlineID int,2,100000,0,-1,0.0,0.0
100,t0.DayofMonth int LESS_EQUAL t1.DayofMonth int AND t0.OriginWac int EQUAL t1.OriginWac int AND t0.AirlineID int EQUAL t1.AirlineID int,3,100000,0,-1,0.0,0.0
101,t0.AirlineID int LESS t1.AirlineID int AND t0.OriginStateFips int EQUAL t1.OriginStateFips int AND t0.OriginAirportID int LESS t1.OriginAirportID int,3,100000,0,-1,0.0,0.0
102,t0.OriginWac int LESS_EQUAL t1.OriginWac int AND t0.DayOfWeek int EQUAL t1.DayOfWeek int AND t0.UniqueCarrier String EQUAL t1.UniqueCarrier String,3,100000,0,-1,0.0,0.0
103,t0.OriginAirportID int LESS_EQUAL t1.OriginAirportID int AND t0.OriginStateFips int LESS_EQUAL t1.OriginStateFips int AND t0.Month int UNEQUAL t1.Month int,3,100000,0,-1,0.0,0.0
104,t0.OriginState String EQUAL t1.OriginState String AND t0.FlightNum int LESS_EQUAL t1.FlightNum int AND t0.UniqueCarrier String EQUAL t1.UniqueCarrier String,3,100000,0,-1,0.0,0.0
105,t0.AirlineID int LESS t1.AirlineID int AND t0.OriginCityMarketID int LESS t1.OriginCityMarketID int AND t0.FlightDate String EQUAL t1.FlightDate String,3,100000,0,-1,0.0,0.0
106,t0.OriginCityName String UNEQUAL t1.OriginCityName String AND t0.AirlineID int EQUAL t1.AirlineID int AND t0.OriginStateName String EQUAL t1.OriginStateName String,3,100000,0,-1,0.0,0.0
107,t0.AirlineID int LESS t1.AirlineID int AND t0.OriginStateFips int EQUAL t1.OriginStateFips int AND t0.OriginAirportID int GREATER t1.OriginAirportID int,3,100000,0,-1,0.0,0.0
108,t0.OriginState String EQUAL t1.OriginState String AND t0.OriginCityMarketID int LESS t1.OriginCityMarketID int AND t0.OriginAirportID int GREATER_EQUAL t1.OriginAirportID int,3,100000,0,-1,0.0,0.0
109,t0.OriginState String EQUAL t1.OriginState String AND t0.OriginAirportID int LESS t1.OriginAirportID int AND t0.OriginCityMarketID int GREATER_EQUAL t1.OriginCityMarketID int,3,100000,0,-1,0.0,0.0
110,t0.AirlineID int EQUAL t1.AirlineID int AND t0.Carrier String UNEQUAL t1.Carrier String,2,100000,89623,0,0.9997046107995099,0.7497046107995099
111,t0.AirlineID int UNEQUAL t1.AirlineID int AND t0.Carrier String EQUAL t1.Carrier String,2,100000,89623,1,0.9997046107995099,0.7497046107995099
112,t0.OriginState String EQUAL t1.OriginState String AND t0.OriginAirportSeqID int UNEQUAL t1.OriginAirportSeqID int AND t0.UniqueCarrier String EQUAL t1.UniqueCarrier String,3,100000,0,-1,0.0,0.0
113,t0.OriginAirportID int LESS_EQUAL t1.OriginAirportID int AND t0.FlightNum int LESS_EQUAL t1.FlightNum int AND t0.DayofMonth int EQUAL t1.DayofMonth int,3,100000,0,-1,0.0,0.0
114,t0.DayofMonth int LESS_EQUAL t1.DayofMonth int AND t0.OriginAirportID int EQUAL t1.OriginAirportID int AND t0.FlightNum int LESS_EQUAL t1.FlightNum int,3,100000,0,-1,0.0,0.0
115,t0.OriginState String UNEQUAL t1.OriginState String AND t0.OriginWac int EQUAL t1.OriginWac int,2,100000,94152,1,0.9994982645017494,0.7494982645017494
116,t0.OriginWac int UNEQUAL t1.OriginWac int AND t0.OriginState String EQUAL t1.OriginState String,2,100000,94152,1,0.9994982645017494,0.7494982645017494
117,t0.DayofMonth int LESS_EQUAL t1.DayofMonth int AND t0.OriginCityMarketID int EQUAL t1.OriginCityMarketID int AND t0.DayOfWeek int GREATER_EQUAL t1.DayOfWeek int,3,100000,0,-1,0.0,0.0
118,t0.OriginAirportSeqID int LESS t1.OriginAirportSeqID int AND t0.FlightNum int GREATER_EQUAL t1.FlightNum int AND t0.DayofMonth int EQUAL t1.DayofMonth int,3,100000,0,-1,0.0,0.0
119,t0.OriginState String EQUAL t1.OriginState String AND t0.OriginAirportSeqID int LESS t1.OriginAirportSeqID int AND t0.DayOfWeek int LESS t1.DayOfWeek int,3,100000,0,-1,0.0,0.0
120,t0.OriginCityMarketID int LESS_EQUAL t1.OriginCityMarketID int AND t0.AirlineID int GREATER_EQUAL t1.AirlineID int AND t0.Month int UNEQUAL t1.Month int,3,100000,0,-1,0.0,0.0
121,t0.DayOfWeek int EQUAL t1.DayOfWeek int AND t0.AirlineID int EQUAL t1.AirlineID int AND t0.OriginAirportSeqID int LESS_EQUAL t1.OriginAirportSeqID int,3,100000,0,-1,0.0,0.0
