-----airport-----
attribute,total_time,init_time,model_time,del_time,leakage,paths_blocked,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells
latitude_deg,0.04916095733642578,0.012264013290405273,0.03483414649963379,0.0019960403442382812,0.0,120,15,120,17350,15
latitude_deg,0.049285173416137695,0.012349128723144531,0.034976959228515625,0.0018930435180664062,0.0,120,15,120,17350,15
latitude_deg,0.05955982208251953,0.012372016906738281,0.043302059173583984,0.0037949085235595703,0.0,120,15,120,17350,15
latitude_deg,0.04947495460510254,0.012310028076171875,0.03494906425476074,0.0021522045135498047,0.0,120,15,120,17350,15
latitude_deg,0.052580833435058594,0.011939048767089844,0.0349271297454834,0.005644798278808594,0.0,120,15,120,17350,15
latitude_deg,0.0495610237121582,0.012027978897094727,0.03508591651916504,0.0023839473724365234,0.0,120,15,120,17350,15
latitude_deg,0.05118918418884277,0.012240171432495117,0.036112070083618164,0.00273895263671875,0.0,120,15,120,17350,15
latitude_deg,0.04893803596496582,0.012278079986572266,0.03471493721008301,0.0018763542175292969,0.0,120,15,120,17350,15
latitude_deg,0.04941892623901367,0.012380838394165039,0.0349268913269043,0.0020503997802734375,0.0,120,15,120,17350,15
latitude_deg,0.053685903549194336,0.012137889862060547,0.03438711166381836,0.007097005844116211,0.0,120,15,120,17350,15
latitude_deg,0.048072099685668945,0.01200723648071289,0.03430294990539551,0.0016999244689941406,0.0,120,15,120,17350,15
latitude_deg,0.0491330623626709,0.01256704330444336,0.034559011459350586,0.0019490718841552734,0.0,120,15,120,17350,15
latitude_deg,0.0541529655456543,0.012811899185180664,0.03544187545776367,0.005837202072143555,0.0,120,15,120,17350,15
latitude_deg,0.054496049880981445,0.01318502426147461,0.035919904708862305,0.0053119659423828125,0.0,120,15,120,17350,15
latitude_deg,0.05429720878601074,0.012081146240234375,0.03513288497924805,0.00701904296875,0.0,120,15,120,17350,15
latitude_deg,0.04816794395446777,0.011831045150756836,0.03460097312927246,0.001672983169555664,0.0,120,15,120,17350,15
latitude_deg,0.05272793769836426,0.01200723648071289,0.03584718704223633,0.004791736602783203,0.0,120,15,120,17350,15
latitude_deg,0.05437636375427246,0.012595176696777344,0.035243988037109375,0.006478071212768555,0.0,120,15,120,17350,15
latitude_deg,0.049401044845581055,0.012518882751464844,0.0350799560546875,0.0017361640930175781,0.0,120,15,120,17350,15
latitude_deg,0.04952692985534668,0.012318849563598633,0.0351259708404541,0.0020160675048828125,0.0,120,15,120,17350,15
latitude_deg,0.04888796806335449,0.01205897331237793,0.03506803512573242,0.0017020702362060547,0.0,120,15,120,17350,15
latitude_deg,0.04890799522399902,0.011918783187866211,0.0348050594329834,0.0021209716796875,0.0,120,15,120,17350,15
latitude_deg,0.051679134368896484,0.013724088668823242,0.03465867042541504,0.003235340118408203,0.0,120,15,120,17350,15
latitude_deg,0.04959821701049805,0.012265443801879883,0.03522205352783203,0.0020487308502197266,0.0,120,15,120,17350,15
