-----airport-----
target_attribute,total_time,init_time,model_time,del_time,leakage,utility,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells
latitude_deg,0.1483309268951416,9.703636169433594e-05,0.14385700225830078,0.004376888275146484,0.0,-3.5,7,24,17157680,14
latitude_deg,0.15075969696044922,0.00010609626770019531,0.14273381233215332,0.007919788360595703,0.0,-3.5,7,24,17157680,14
latitude_deg,0.14939594268798828,9.608268737792969e-05,0.14257383346557617,0.00672602653503418,0.0,-2.5,5,24,17157680,14
latitude_deg,0.14830684661865234,0.00010204315185546875,0.14113903045654297,0.007065773010253906,0.0,-3.0,6,24,17157680,14
latitude_deg,0.15023112297058105,9.489059448242188e-05,0.1427171230316162,0.007419109344482422,0.0,-2.5,5,24,17157680,14
latitude_deg,0.14800310134887695,0.00011014938354492188,0.14040803909301758,0.007484912872314453,0.0,-3.5,7,24,17157680,14
latitude_deg,0.1478099822998047,9.989738464355469e-05,0.13898110389709473,0.008728981018066406,0.0,-4.0,8,24,17157680,14
latitude_deg,0.1490318775177002,9.393692016601562e-05,0.14259886741638184,0.006339073181152344,0.0,-3.0,6,24,17157680,14
latitude_deg,0.1481010913848877,0.0001010894775390625,0.14154696464538574,0.006453037261962891,0.0,-3.0,6,24,17157680,14
latitude_deg,0.16495108604431152,0.00010991096496582031,0.1601569652557373,0.0046842098236083984,0.0,-1.0,2,24,17157680,14
latitude_deg,0.15012383460998535,9.799003601074219e-05,0.14290308952331543,0.00712275505065918,0.0,-2.5,5,24,17157680,14
latitude_deg,0.14977002143859863,9.894371032714844e-05,0.14196109771728516,0.007709980010986328,0.0,-4.0,8,24,17157680,14
latitude_deg,0.1483898162841797,0.00010013580322265625,0.1411757469177246,0.007113933563232422,0.0,-3.0,6,24,17157680,14
latitude_deg,0.15263700485229492,9.703636169433594e-05,0.1443791389465332,0.008160829544067383,0.0,-4.5,9,24,17157680,14
latitude_deg,0.14654254913330078,0.00010085105895996094,0.14049887657165527,0.005942821502685547,0.0,-2.0,4,24,17157680,14
-----hospital-----
target_attribute,total_time,init_time,model_time,del_time,leakage,utility,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells
ProviderNumber,0.014084577560424805,7.677078247070312e-05,0.008097171783447266,0.005910634994506836,0.0,-3.0,6,13,1803131,11
ProviderNumber,0.011385917663574219,6.771087646484375e-05,0.008013248443603516,0.0033049583435058594,0.0,-2.5,5,13,1803131,11
ProviderNumber,0.011242151260375977,6.508827209472656e-05,0.007987022399902344,0.0031900405883789062,0.0,-1.0,2,13,1803131,11
ProviderNumber,0.012421131134033203,7.486343383789062e-05,0.00817728042602539,0.004168987274169922,0.0,-2.5,5,13,1803131,11
ProviderNumber,0.011805295944213867,7.128715515136719e-05,0.007989883422851562,0.0037441253662109375,0.0,-3.0,6,13,1803131,11
ProviderNumber,0.011353015899658203,7.009506225585938e-05,0.008147001266479492,0.0031359195709228516,0.0,-2.0,4,13,1803131,11
ProviderNumber,0.011713981628417969,7.987022399902344e-05,0.008135080337524414,0.0034990310668945312,0.0,-2.5,5,13,1803131,11
ProviderNumber,0.011884689331054688,6.794929504394531e-05,0.00797581672668457,0.003840923309326172,0.0,-3.0,6,13,1803131,11
ProviderNumber,0.011831045150756836,6.914138793945312e-05,0.00795602798461914,0.003805875778198242,0.0,-3.0,6,13,1803131,11
ProviderNumber,0.011594057083129883,6.4849853515625e-05,0.007930994033813477,0.0035982131958007812,0.0,-2.5,5,13,1803131,11
ProviderNumber,0.011055707931518555,8.0108642578125e-05,0.008215665817260742,0.0027599334716796875,0.0,-2.0,4,13,1803131,11
ProviderNumber,0.01191854476928711,7.581710815429688e-05,0.007979869842529297,0.0038628578186035156,0.0,-3.5,7,13,1803131,11
ProviderNumber,0.01161813735961914,7.081031799316406e-05,0.008101224899291992,0.0034461021423339844,0.0,-2.5,5,13,1803131,11
ProviderNumber,0.010950088500976562,6.580352783203125e-05,0.007967233657836914,0.002917051315307617,0.0,-1.5,3,13,1803131,11
ProviderNumber,0.010879755020141602,6.794929504394531e-05,0.007948875427246094,0.0028629302978515625,0.0,-3.5,7,13,1803131,11
ProviderNumber,0.011909246444702148,7.200241088867188e-05,0.00800013542175293,0.003837108612060547,0.0,-2.5,5,13,1803131,11
