-----airport-----
attribute,total_time,num_explanations,cells_deleted,max_depth,memory_bytes,init_time,model_time,del_time
latitude_deg,0.07771730422973633,22,15,1,300,0.05441689491271973,0.0009441375732421875,0.002092123031616211
latitude_deg,0.08050894737243652,22,15,1,300,0.05640411376953125,0.0009419918060302734,0.0032148361206054688
latitude_deg,0.08024811744689941,22,15,1,300,0.05749011039733887,0.0008897781372070312,0.0019290447235107422
latitude_deg,0.08024191856384277,22,15,1,300,0.0571131706237793,0.0009138584136962891,0.001837015151977539
latitude_deg,0.08062195777893066,22,15,1,300,0.05751800537109375,0.0008931159973144531,0.0020487308502197266
latitude_deg,0.08443903923034668,22,15,1,300,0.0572657585144043,0.000997304916381836,0.005212306976318359
latitude_deg,0.0869743824005127,22,15,1,300,0.05917501449584961,0.001013040542602539,0.0026350021362304688
latitude_deg,0.08226513862609863,22,15,1,300,0.05834197998046875,0.0009248256683349609,0.0020837783813476562
latitude_deg,0.07896685600280762,22,15,1,300,0.05616903305053711,0.0009398460388183594,0.0018160343170166016
latitude_deg,0.07992982864379883,22,15,1,300,0.056099891662597656,0.0009441375732421875,0.00286102294921875
latitude_deg,0.0778050422668457,22,15,1,300,0.05523681640625,0.000926971435546875,0.0020389556884765625
-----hospital-----
attribute,total_time,num_explanations,cells_deleted,max_depth,memory_bytes,init_time,model_time,del_time
ProviderNumber,0.025488853454589844,13,12,1,240,0.008991003036499023,0.0005078315734863281,0.001463174819946289
ProviderNumber,0.024923086166381836,13,12,1,240,0.008420944213867188,0.0004220008850097656,0.0015149116516113281
ProviderNumber,0.027614831924438477,13,12,1,240,0.009272098541259766,0.0005371570587158203,0.003451108932495117
ProviderNumber,0.026240110397338867,13,12,1,240,0.008903980255126953,0.0005049705505371094,0.0022430419921875
ProviderNumber,0.02640390396118164,13,12,1,240,0.009537935256958008,0.0005328655242919922,0.001435995101928711
ProviderNumber,0.025580167770385742,13,12,1,240,0.008913993835449219,0.00043392181396484375,0.0016393661499023438
ProviderNumber,0.025779008865356445,13,12,1,240,0.009021997451782227,0.0004987716674804688,0.00177001953125
ProviderNumber,0.024516820907592773,13,12,1,240,0.008593082427978516,0.00045299530029296875,0.0014641284942626953
ProviderNumber,0.024831056594848633,13,12,1,240,0.0084228515625,0.0004341602325439453,0.0016491413116455078
ProviderNumber,0.02465081214904785,13,12,1,240,0.008510112762451172,0.00043272972106933594,0.0015590190887451172
ProviderNumber,0.025478124618530273,13,12,1,240,0.009057998657226562,0.0004189014434814453,0.0018780231475830078
ProviderNumber,0.025849103927612305,13,12,1,240,0.0090789794921875,0.0004940032958984375,0.0016369819641113281
ProviderNumber,0.02550220489501953,13,12,1,240,0.009367942810058594,0.0005142688751220703,0.0013828277587890625
ProviderNumber,0.02608323097229004,13,12,1,240,0.009066104888916016,0.00039196014404296875,0.0016148090362548828
ProviderNumber,0.02590489387512207,13,12,1,240,0.009244918823242188,0.00045990943908691406,0.0014808177947998047
ProviderNumber,0.02476191520690918,13,12,1,240,0.008577108383178711,0.00044798851013183594,0.0013530254364013672
