beta,leakage,utility,mask_size
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-5.5,1
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-5.5,1
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
5.0,1.0,-0.5,0
beta,leakage,utility,mask_size
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-6.0,1
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-6.0,1
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-6.0,1
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-11.5,2
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
5.5,1.0,-0.5,0
beta,leakage,utility,mask_size
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-6.5,1
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
6.0,1.0,-0.5,0
beta,leakage,utility,mask_size
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
6.5,1.0,-0.5,0
beta,leakage,utility,mask_size
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
7.0,1.0,-0.5,0
beta,leakage,utility,mask_size
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
7.5,1.0,-0.5,0
beta,leakage,utility,mask_size
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
8.0,1.0,-0.5,0
beta,leakage,utility,mask_size
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
