-----airport-----
attribute,time,row,cells
single_exemp,1.2496469020843506,23134,6
has_child,0.18401885032653809,13798,5
state,0.3493931293487549,97589,10
has_child,0.1802048683166504,38389,5
rate,0.17964410781860352,72276,5
zip,0.39191508293151855,97922,11
state,0.35225486755371094,4184,10
salary,0.1819019317626953,24173,5
rate,0.17706513404846191,75175,5
zip,0.388624906539917,19924,11
salary,0.18004202842712402,49439,5
has_child,0.17995095252990723,11893,5
child_exemp,0.4846060276031494,61220,5
marital_status,0.22209382057189941,82650,6
marital_status,0.21463489532470703,93266,6
phone,0.21625423431396484,64356,6
rate,0.18215608596801758,26478,5
area_code,0.3552398681640625,79323,10
salary,0.17817091941833496,62070,5
area_code,0.3512990474700928,63062,10
single_exemp,1.3312280178070068,88687,6
marital_status,0.2213268280029297,90883,6
city,0.1152350902557373,5399,3
child_exemp,0.4960949420928955,65237,5
fname,0.10870504379272461,64850,3
salary,0.18662190437316895,94041,5
has_child,0.2110459804534912,12877,5
zip,0.4281330108642578,84516,11
salary,0.18208789825439453,51370,5
married_exemp,1.2497222423553467,60802,6
zip,0.41126203536987305,51735,11
area_code,0.35430312156677246,22643,10
single_exemp,1.302386999130249,30993,6
rate,0.18818116188049316,77875,5
rate,0.20838403701782227,73330,5
phone,0.2147529125213623,72526,6
single_exemp,1.32635498046875,57205,6
married_exemp,1.192854642868042,88061,6
gender,0.08069705963134766,16424,2
married_exemp,1.1968410015106201,48792,6
area_code,0.36066198348999023,75864,10
state,0.35700392723083496,10512,10
state,0.35940980911254883,92220,10
single_exemp,1.3041410446166992,36327,6
rate,0.18173432350158691,16645,5
single_exemp,1.3018879890441895,53286,6
has_child,0.18620800971984863,10891,5
has_child,0.18094491958618164,6869,5
has_child,0.1862039566040039,28370,5
child_exemp,0.4882800579071045,45776,5
gender,0.07831501960754395,81645,2
gender,0.0794990062713623,64152,2
salary,0.18396687507629395,2630,5
rate,0.1810009479522705,38979,5
marital_status,0.2198641300201416,76414,6
has_child,0.1829700469970703,86556,5
fname,0.11304306983947754,28138,3
marital_status,0.2193617820739746,14339,6
single_exemp,1.3076579570770264,89091,6
marital_status,0.2228848934173584,76592,6
lname,0.08017730712890625,7465,2
area_code,0.3631758689880371,80657,10
area_code,0.35985398292541504,2935,10
single_exemp,1.395801067352295,77191,6
salary,0.2290339469909668,50332,5
single_exemp,1.3006510734558105,87481,6
phone,0.22053909301757812,3318,6
child_exemp,0.5007729530334473,56752,5
area_code,0.35852789878845215,86804,10
state,0.3597450256347656,42722,10
married_exemp,1.1880879402160645,76102,6
has_child,0.18171095848083496,45275,5
city,0.11333394050598145,89833,3
has_child,0.18170905113220215,15601,5
zip,0.3977358341217041,53722,11
fname,0.11477780342102051,26036,3
area_code,0.3609161376953125,36014,10
phone,0.2234492301940918,44268,6
zip,0.39309120178222656,5437,11
phone,0.2186131477355957,17848,6
lname,0.07854008674621582,99138,2
