method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsmarginal_em,adult,education,0.03307700157165527,0.003965854644775391,0.026684999465942383,0.0024261474609375,0.49122554744404323,Unnamed: 21,-1000.0,7,0,2858,12,epsilon_m,L0
marginal_em,adult,education,0.0234789848327636,0.0014278888702392,0.0191621780395507,0.0028889179229736,0.0010000749761468,,-8.0,7,8,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.023263931274414,0.0015261173248291,0.0187799930572509,0.0029578208923339,0.0004258560715968,,-9.0,7,9,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.022770881652832,0.0014219284057617,0.0186238288879394,0.0027251243591308,0.0,,-11.0,7,11,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0233275890350341,0.001694917678833,0.019162893295288,0.002469778060913,0.2673304963584648,,-2.0,7,2,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0240499973297119,0.0014569759368896,0.019360065460205,0.0032329559326171,0.0623400217666499,,-5.0,7,5,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0235321521759033,0.001453161239624,0.01888108253479,0.0031979084014892,0.4912255474440432,,-0.0,7,0,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0231812000274658,0.0014259815216064,0.0188422203063964,0.0029129981994628,0.0,,-10.0,7,10,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0237941741943359,0.0014131069183349,0.0190100669860839,0.0033710002899169,0.0046960875635043,,-6.0,7,6,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0226380825042724,0.0014379024505615,0.018568992614746,0.0026311874389648,0.3038956650102904,,-1.0,7,1,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0222797393798828,0.0015778541564941,0.0186810493469238,0.0020208358764648,0.0,,-10.0,7,10,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.023637056350708,0.0014429092407226,0.0194480419158935,0.0027461051940917,0.0699460066462226,,-4.0,7,4,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0237832069396972,0.0014219284057617,0.0191061496734619,0.0032551288604736,0.0,,-11.0,7,11,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0233228206634521,0.0014278888702392,0.0191490650177001,0.0027458667755126,0.0699460066462226,,-4.0,7,4,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.023590087890625,0.0014863014221191,0.018906831741333,0.0031969547271728,0.0027841939253507,,-7.0,7,7,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0232496261596679,0.0014488697052001,0.0190029144287109,0.0027978420257568,0.0699460066462226,,-4.0,7,4,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0233490467071533,0.0014517307281494,0.0188353061676025,0.0030620098114013,0.4912255474440432,,-0.0,7,0,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0228309631347656,0.0014657974243164,0.0187721252441406,0.0025930404663085,0.4912255474440432,,-0.0,7,0,2858,12,,,,,,,,,,,,,,0.0,0.6
marginal_em,adult,education,0.0237290859222412,0.0015261173248291,0.0195329189300537,0.0026700496673583,0.0004258560715968,,-9.0,7,9,2858,12,,,,,,,,,,,,,,0.0,0.6
