method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsmarginal_em,tax,city,0.003271818161010742,0.0003707408905029297,0.0003771781921386719,0.0025238990783691406,0.0,Unnamed: 21,-3.0,1,3,201,3.1,epsilon_m,L0
marginal_em,tax,city,0.003953218460083,0.0003321170806884,0.0003728866577148,0.0032482147216796,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0050125122070312,0.000795841217041,0.0007328987121582,0.003483772277832,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0073585510253906,0.0005857944488525,0.0005686283111572,0.0062041282653808,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0043070316314697,0.0005319118499755,0.0004360675811767,0.0033390522003173,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0156960487365722,0.0004510879516601,0.0005149841308593,0.0147299766540527,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0046830177307128,0.0003969669342041,0.0008058547973632,0.0034801959991455,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0055108070373535,0.0008997917175292,0.0008490085601806,0.0037620067596435,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0046911239624023,0.0006158351898193,0.0008101463317871,0.0032651424407958,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0055088996887207,0.0008480548858642,0.0006768703460693,0.0039839744567871,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0050699710845947,0.0007801055908203,0.0009708404541015,0.0033190250396728,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0057413578033447,0.0006141662597656,0.0008010864257812,0.0043261051177978,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0053772926330566,0.0004467964172363,0.0005748271942138,0.0043556690216064,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.005782127380371,0.0004618167877197,0.0007910728454589,0.0045292377471923,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0063762664794921,0.0005538463592529,0.0009002685546875,0.0049221515655517,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0044946670532226,0.0006237030029296,0.000568151473999,0.0033028125762939,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
