method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsmarginal_em,hospital,ProviderNumber,0.027265071868896484,0.0014500617980957031,0.023368120193481445,0.002446889877319336,0.0001443939775050973,Unnamed: 21,-9.0,4,9,1823,10,epsilon_m,L0
marginal_em,hospital,ProviderNumber,0.0146119594573974,0.000504732131958,0.0119102001190185,0.0021970272064208,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.014556884765625,0.0004830360412597,0.011714220046997,0.0023596286773681,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0140650272369384,0.0005099773406982,0.0118851661682128,0.0016698837280273,0.0,,-10.0,4,10,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0145409107208251,0.0005810260772705,0.0120739936828613,0.0018858909606933,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0140039920806884,0.0005261898040771,0.01127290725708,0.0022048950195312,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.014050006866455,0.0005140304565429,0.0113139152526855,0.0022220611572265,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0141279697418212,0.0005078315734863,0.011531114578247,0.0020890235900878,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0136280059814453,0.0005199909210205,0.0114250183105468,0.0016829967498779,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0136628150939941,0.0005266666412353,0.0114643573760986,0.0016717910766601,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0137555599212646,0.000525951385498,0.0113358497619628,0.0018937587738037,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
marginal_em,hospital,ProviderNumber,0.0142691135406494,0.0005481243133544,0.0113940238952636,0.0023269653320312,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,0.5,0.05
